Jordan Pickford,Everton,"£ 125,000 (€ 145,894, $159,153)"
Aaron Ramsdale,Arsenal,"£ 120,000 (€ 140,058, $152,787)"
Riccardo Calafiori,Arsenal,"£ 120,000 (€ 140,058, $152,787)"
André Onana,Manchester Utd,"£ 120,000 (€ 140,058, $152,787)"
Lisandro Martínez,Manchester Utd,"£ 120,000 (€ 140,058, $152,787)"
Victor Lindelöf,Manchester Utd,"£ 120,000 (€ 140,058, $152,787)"
Alphonse Areola,West Ham,"£ 120,000 (€ 140,058, $152,787)"
Jarrod Bowen,West Ham,"£ 120,000 (€ 140,058, $152,787)"
Player,Squad,Weekly Wages
Cody Gakpo,Liverpool,"£ 120,000 (€ 140,058, $152,787)"
Dominik Szoboszlai,Liverpool,"£ 120,000 (€ 140,058, $152,787)"
Emiliano Martínez,Aston Villa,"£ 120,000 (€ 140,058, $152,787)"
John McGinn,Aston Villa,"£ 120,000 (€ 140,058, $152,787)"
Leon Bailey,Aston Villa,"£ 120,000 (€ 140,058, $152,787)"
Lucas Digne,Aston Villa,"£ 120,000 (€ 140,058, $152,787)"
Alexander Isak,Newcastle Utd,"£ 120,000 (€ 140,058, $152,787)"
Kieran Trippier,Newcastle Utd,"£ 120,000 (€ 140,058, $152,787)"
Sandro Tonali,Newcastle Utd,"£ 120,000 (€ 140,058, $152,787)"
Malang Sarr,Chelsea,"£ 120,000 (€ 140,058, $152,787)"
Tosin Adarabioyo,Chelsea,"£ 120,000 (€ 140,058, $152,787)"
Leny Yoro,Manchester Utd,"£ 115,000 (€ 134,223, $146,421)"
James Ward-Prowse,West Ham,"£ 115,000 (€ 134,223, $146,421)"
Jorginho,Arsenal,"£ 110,000 (€ 128,387, $140,055)"
Kieran Tierney,Arsenal,"£ 110,000 (€ 128,387, $140,055)"
Dejan Kulusevski,Tottenham,"£ 110,000 (€ 128,387, $140,055)"
Joshua Zirkzee,Manchester Utd,"£ 105,000 (€ 122,551, $133,689)"
Daichi Kamada,Crystal Palace,"£ 105,000 (€ 122,551, $133,689)"
Nikola Milenković,Nott'ham Forest,"£ 105,000 (€ 122,551, $133,689)"
Eddie Nketiah,Arsenal,"£ 100,000 (€ 116,715, $127,323)"
Gabriel Magalhães,Arsenal,"£ 100,000 (€ 116,715, $127,323)"
Reiss Nelson,Arsenal,"£ 100,000 (€ 116,715, $127,323)"
Takehiro Tomiyasu,Arsenal,"£ 100,000 (€ 116,715, $127,323)"
Dean Henderson,Crystal Palace,"£ 100,000 (€ 116,715, $127,323)"
Eberechi Eze,Crystal Palace,"£ 100,000 (€ 116,715, $127,323)"
Edson Álvarez,West Ham,"£ 100,000 (€ 116,715, $127,323)"
Andrew Robertson,Liverpool,"£ 100,000 (€ 116,715, $127,323)"
Diego Carlos,Aston Villa,"£ 100,000 (€ 116,715, $127,323)"
Pau Torres,Aston Villa,"£ 100,000 (€ 116,715, $127,323)"
Tyrone Mings,Aston Villa,"£ 100,000 (€ 116,715, $127,323)"
Matt Targett,Newcastle Utd,"£ 100,000 (€ 116,715, $127,323)"
Ederson,Manchester City,"£ 100,000 (€ 116,715, $127,323)"
Carney Chukwuemeka,Chelsea,"£ 100,000 (€ 116,715, $127,323)"
Levi Colwill,Chelsea,"£ 100,000 (€ 116,715, $127,323)"
Marc Guiu,Chelsea,"£ 100,000 (€ 116,715, $127,323)"
Mykhailo Mudryk,Chelsea,"£ 100,000 (€ 116,715, $127,323)"
Dominic Calvert-Lewin,Everton,"£ 100,000 (€ 116,715, $127,323)"
James Tarkowski,Everton,"£ 100,000 (€ 116,715, $127,323)"
Raúl Jiménez,Fulham,"£ 100,000 (€ 116,715, $127,323)"
Emerson Palmieri,West Ham,"£ 95,000 (€ 110,879, $120,956)"
Player,Squad,Weekly Wages
Jurriën Timber,Arsenal,"£ 90,000 (€ 105,044, $114,590)"
Leandro Trossard,Arsenal,"£ 90,000 (€ 105,044, $114,590)"
Aaron Wan-Bissaka,Manchester Utd,"£ 90,000 (€ 105,044, $114,590)"
Richarlison,Tottenham,"£ 90,000 (€ 105,044, $114,590)"
Odsonne Édouard,Crystal Palace,"£ 90,000 (€ 105,044, $114,590)"
Mohammed Kudus,West Ham,"£ 90,000 (€ 105,044, $114,590)"
Niclas Füllkrug,West Ham,"£ 90,000 (€ 105,044, $114,590)"
Tomáš Souček,West Ham,"£ 90,000 (€ 105,044, $114,590)"
Leander Dendoncker,Aston Villa,"£ 90,000 (€ 105,044, $114,590)"
Gonçalo Guedes,Wolves,"£ 90,000 (€ 105,044, $114,590)"
Pablo Sarabia,Wolves,"£ 90,000 (€ 105,044, $114,590)"
