Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,01-Mar,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,PrgR,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Season
vs Arsenal,2,26.6,46.3,38,38,3420,38,48,30,78,41,7,3,79,1,55.3,48.9,39.1,88.1,759,1369,1.26,0.79,2.05,1.08,1.87,1.46,1.03,2.48,1.29,2.32,100,185,33.9,14.34,4.87,0.08,0.22,18.2,1,0.09,-7.3,-7.9,242,539,44.9,67373,35280,6592,261,88.7,5474,6451,84.9,1506,2727,55.2,33.2,-9.1,415,603,300,85,21791,1790,31,131,784,741,9,105,71,6,52,354,962,25.32,690,95,54,408,18,86,2.26,56,10,4,6,10,0,656,388,6362,9657,6012,286,41,501,254,425,1081,722,19,21798,2223,943,363,59.2,249,40.6,12392,232,521,335,13864,1361,90,100,83,,110,20,176,1.16,48,56,-8,-0.21,55.3,47,8.3,0.22,0,459,8,3,0,1898,589,54,56,1.47,149,93,64.4,10,14,14,7,18.4,3,0,0,0,52.8,0.35,-3.2,-0.08,840,146,46.1,36.7,58.2,44.6,524,16,3.1,35,0.92,16.3,2019/2020
vs Aston Villa,4,26.6,55.9,38,38,3420,38,66,44,110,61,5,3,90,7,67.8,63,46.6,109.6,838,1823,1.74,1.16,2.89,1.61,2.76,1.78,1.23,3.01,1.66,2.88,115,176,29.2,15.84,4.63,0.1,0.35,16.8,1,0.11,-1.8,-2,240,577,41.6,76343,41258,7760,274,88.9,6185,7276,85,1661,2984,55.7,39.9,-2.6,458,606,383,74,24379,1878,48,172,857,803,8,101,87,7,43,353,1072,28.21,790,85,62,431,15,107,2.82,74,8,9,7,7,2,530,315,6762,10847,6995,217,38.1,705,238,346,876,785,14,24385,2244,1124,374,62.6,223,37.4,14320,257,528,300,16041,1805,90,100,84,,118,19,168,1.87,67,41,26,0.68,67.8,44.3,23.5,0.62,6,543,5,3,1,1905,742,51.3,41,1.08,149,108,73.2,21,8,9,11,28.9,1,1,1,50,37.3,0.24,-2.7,-0.07,903,181,45.4,36.9,60.9,45,654,31,4.7,23,0.61,11.9,2019/2020
vs Bournemouth,2,26.8,55.9,38,38,3420,38,65,45,110,60,5,4,67,3,62.3,57.6,42.6,100.2,743,1670,1.71,1.18,2.89,1.58,2.76,1.64,1.12,2.76,1.52,2.64,117,186,33.7,14.53,4.89,0.11,0.32,17.9,3,0.11,2.7,2.4,214,624,34.3,76072,39525,7405,250,87.5,7039,8266,85.2,1705,3186,53.5,36.9,2.4,415,576,366,86,25507,1842,67,146,812,851,7,118,85,6,71,443,976,25.68,764,61,54,347,17,108,2.84,77,2,8,12,6,3,661,389,7267,11967,6490,277,46,792,326,402,1063,824,15,25513,2214,965,360,63.5,207,36.5,14703,207,543,300,16577,1662,90,100,84,,117,21,167,1.92,65,40,25,0.66,62.3,44.8,17.5,0.46,0,410,2,4,2,2047,835,51.3,40,1.05,121,83,70.2,22,7,9,15,39.5,4,0,0,0,40.7,0.31,2.7,0.07,918,136,47.6,38.3,74.8,52.4,497,40,8,35,0.92,13.7,2019/2020
vs Brighton,1,26.5,47.8,38,38,3418,38,52,42,94,50,2,2,61,1,55,53.4,43.1,96.5,773,1342,1.37,1.11,2.47,1.32,2.42,1.45,1.13,2.58,1.4,2.54,126,166,33.5,13.05,4.37,0.1,0.3,16.3,2,0.11,-3,-3.4,171,551,31,70721,36753,6790,310,87.7,5484,6563,83.6,1527,2904,52.6,32,-1.1,376,514,297,63,22696,1862,38,195,676,843,5,110,52,3,70,426,874,23,632,66,69,372,16,92,2.42,70,5,5,6,5,1,648,385,7201,10219,5513,249,42.6,690,300,428,1076,748,16,22698,2286,873,397,61.8,245,38.2,12826,223,550,396,14192,1325,90,100,84,,115,21,169,1.55,54,39,15,0.39,55,45.4,9.5,0.25,0,342,2,2,4,2021,577,45.5,39,1.03,141,105,73,15,14,9,13,34.2,1,1,0,50,39.5,0.27,4.5,0.12,893,172,39.9,35.8,62.9,47.6,537,22,4.1,37,0.97,14.3,2019/2020
vs Burnley,1,26.5,58.1,38,38,3420,38,49,38,87,45,4,3,42,3,49.8,45.8,36.6,82.4,857,1544,1.29,1,2.29,1.18,2.18,1.31,0.96,2.27,1.21,2.17,91,162,30.3,14.05,4.26,0.08,0.28,18.3,0,0.09,-0.8,-0.8,191,660,28.9,77390,41013,7570,276,87.2,6129,7430,82.5,1544,3175,48.6,31.9,1.4,403,569,352,86,24512,1988,46,177,820,922,7,93,59,12,50,285,951,25.03,713,71,49,401,18,80,2.11,55,3,7,7,4,4,499,319,7873,10580,6246,208,45.8,937,194,293,792,841,20,24517,2323,895,345,59,240,41,14297,231,518,307,15690,1528,90,100,86,,110,21,173,1.34,50,43,7,0.18,49.8,47.4,2.4,0.06,1,393,5,3,2,1911,917,49.5,43,1.13,127,86,68.5,14,9,15,10,26.3,3,0,0,0,38.3,0.28,-2.7,-0.07,1075,201,43.6,36.5,69.2,49.3,571,23,4,47,1.24,14.1,2019/2020
vs Chelsea,2,26.4,39.6,38,38,3420,38,51,36,87,49,2,7,76,3,38.6,37,27.4,64.4,464,1151,1.34,0.95,2.29,1.29,2.24,1.01,0.72,1.74,0.97,1.69,179,113,35.3,8.42,2.97,0.15,0.43,16.5,2,0.12,12.4,12,222,639,34.7,56452,26910,5803,316,85.1,4884,5932,82.3,1342,2751,48.8,23.9,8.6,241,381,216,55,21106,1750,36,134,518,766,7,64,40,4,43,471,553,14.55,372,64,31,368,11,89,2.34,62,8,8,5,5,1,672,381,7489,9424,4394,258,35.9,703,292,434,1106,950,20,21108,2691,584,358,59.3,247,40.9,11069,113,636,392,12342,1134,90,100,84,,115,21,169,1.11,54,69,-15,-0.39,38.6,69.2,-30.6,-0.81,0,397,2,7,0,2091,701,49.9,69,1.82,217,148,71.4,12,6,20,7,18.4,7,0,0,0,67.4,0.29,-1.6,-0.04,922,147,46.2,37.6,67.4,48.2,656,24,3.7,18,0.47,11.7,2019/2020
vs Crystal Palace,2,26.5,55.2,38,38,3420,38,48,36,84,48,0,3,88,5,57,56.2,40,96.2,769,1690,1.26,0.95,2.21,1.26,2.21,1.5,1.05,2.55,1.48,2.53,100,172,33.7,13.45,4.53,0.09,0.28,17.1,2,0.11,-9,-8.2,189,466,40.6,77660,42198,7477,252,87.9,6428,7601,84.6,1703,2988,57,36.7,-4,380,609,328,81,24859,1896,34,190,843,888,2,128,79,5,31,370,888,23.37,629,95,48,410,14,82,2.16,64,3,5,7,3,0,745,425,6741,11771,6538,266,38.1,771,270,449,1194,712,14,24860,2097,898,395,55.6,316,44.4,14378,171,604,370,16070,1676,90,100,85,,111,20,170,1.61,50,31,19,0.5,57,35.8,21.2,0.56,3,492,1,3,2,2018,776,50.2,31,0.82,118,89,76.3,17,10,11,16,42.1,3,0,0,0,29.3,0.22,0.3,0.01,775,160,41.2,35.1,58.3,45.5,461,20,4.3,27,0.71,13.8,2019/2020
vs Everton,1,26.6,51,38,38,3420,38,53,39,92,50,3,1,61,2,48.3,45.2,34.2,79.4,675,1405,1.39,1.03,2.42,1.32,2.34,1.27,0.9,2.17,1.19,2.09,127,144,34,11.13,3.79,0.12,0.35,17.1,0,0.11,4.7,4.8,206,573,36,68555,35386,6485,285,86.7,5830,6928,84.2,1560,3010,51.8,29.6,4.8,317,460,274,69,22963,1943,54,173,655,897,8,81,65,11,78,415,770,20.26,549,68,59,452,6,95,2.5,61,7,11,7,9,0,580,358,7355,10583,5246,235,38.6,860,288,383,963,846,13,22967,2340,733,390,58,282,42,12773,176,568,389,14272,1392,90,100,83,,111,19,173,1.45,56,44,12,0.32,48.3,50.8,-2.5,-0.07,1,410,3,1,2,2009,835,49.3,44,1.16,160,118,73.1,15,10,13,10,26.3,1,0,0,0,46.1,0.29,4.1,0.11,934,172,41,35.8,66.7,49.5,607,21,3.5,36,0.95,14.2,2019/2020
vs Leicester City,1,26.6,43,38,38,3420,38,39,26,65,31,8,7,69,3,45.5,37.7,29.2,66.9,653,1214,1.03,0.68,1.71,0.82,1.5,1.2,0.77,1.97,0.99,1.76,137,125,34,9.68,3.29,0.08,0.25,17.5,1,0.1,-6.5,-6.7,215,587,36.6,60961,30620,5972,294,85.5,4442,5529,80.3,1439,2821,51,27.5,-3.2,290,512,254,71,20934,1995,43,184,647,974,5,104,49,7,65,416,671,17.66,476,62,39,397,17,68,1.79,48,4,2,2,10,2,639,402,6652,9396,5129,311,45.2,659,279,432,1071,836,17,20944,2337,670,427,58.9,298,41.1,11229,133,639,444,12236,1205,90,100,84,,116,20,168,1.16,41,67,-26,-0.68,45.5,62.2,-16.7,-0.44,0,460,7,7,2,2038,674,50.6,67,1.76,190,123,67.4,12,8,18,9,23.7,5,2,0,28.6,62.4,0.29,-2.6,-0.07,800,157,49.1,39.2,66,47.9,578,17,2.9,37,0.97,14.6,2019/2020
vs Liverpool,2,26.3,37.1,38,38,3420,38,32,23,55,31,1,5,47,0,37.7,36.9,29.6,66.5,514,949,0.84,0.61,1.45,0.82,1.42,0.99,0.78,1.77,0.97,1.75,159,106,31.2,8.95,2.79,0.09,0.29,17.2,2,0.11,-5.7,-5.9,234,782,29.9,52721,26527,5234,351,85.2,4041,5171,78.1,1253,2832,44.2,22.2,-6.6,254,388,195,60,19712,1740,54,135,551,742,11,77,47,3,142,437,586,15.42,430,51,45,309,9,51,1.34,35,7,2,4,3,0,577,346,8296,7801,3830,271,41.2,655,278,456,1033,1147,33,19713,3135,557,371,63,217,36.8,10107,146,540,332,10834,932,90,100,85,,109,22,174,0.32,33,85,-52,-1.37,37.7,68.9,-31.2,-0.82,0,322,1,5,2,2089,588,47.3,85,2.24,229,146,65.1,3,3,32,3,7.9,5,0,0,0,74.6,0.31,-8.4,-0.22,944,173,54.6,40.6,76.1,53.2,705,25,3.5,41,1.08,14.7,2019/2020
