Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Arsenal,25,41.8,38.0,20292,3159,8332,8198,3972,570,20289,612,272,44.4,271,44.3,11433,59629,28836,534,409,159,455,339,12601,922
vs Aston Villa,31,46.9,38.0,21376,2242,6845,9746,4982,893,21374,624,290,46.5,260,41.7,12396,65150,34304,640,423,225,462,287,14068,1232
vs Bournemouth,30,55.6,38.0,24614,2739,8577,10035,6266,1091,24607,774,363,46.9,325,42.0,13547,71745,35487,720,489,242,620,368,15730,1485
vs Brentford,28,54.8,38.0,24878,2517,6726,10242,8181,1028,24876,749,380,50.7,317,42.3,14619,75272,38766,847,746,222,580,360,16241,1568
vs Brighton,30,40.2,38.0,20830,2739,7640,8574,4840,930,20824,739,351,47.5,307,41.5,11776,63550,31288,651,413,246,431,337,13319,1165
vs Burnley,31,52.6,38.0,24357,2490,7698,10948,5926,1184,24351,669,300,44.8,284,42.5,13786,71362,35157,711,451,269,558,323,15955,1486
vs Chelsea,32,41.4,38.0,20871,2485,7052,8333,5718,1031,20866,722,307,42.5,323,44.7,11209,63676,34886,727,458,253,514,340,12918,1351
vs Crystal Palace,26,57.7,38.0,27523,2457,8439,12486,6795,914,27520,690,272,39.4,337,48.8,16221,84641,42863,679,579,160,601,451,19015,1694
vs Everton,26,59.2,38.0,27206,2937,9728,11425,6268,1050,27198,790,354,44.8,347,43.9,15899,84307,44356,790,513,243,577,396,18485,1624
vs Fulham,25,49.4,38.0,24273,2541,7724,10902,5864,1009,24265,758,332,43.8,346,45.6,14394,75437,39616,684,485,212,534,333,16060,1518
vs Liverpool,30,38.7,38.0,20456,3259,8298,8133,4236,752,20455,861,427,49.6,341,39.6,10444,56083,28141,559,365,193,580,336,11690,1145
vs Luton Town,28,57.6,38.0,25426,2537,8035,10854,6765,1207,25422,697,317,45.5,299,42.9,14872,77087,38192,723,513,264,596,355,16771,1485
vs Manchester City,25,34.8,38.0,18890,3282,8694,7051,3326,561,18887,499,236,47.3,222,44.5,10332,52964,24987,470,325,146,509,295,11765,822
vs Manchester Utd,31,49.4,38.0,23628,2703,7703,9592,6590,1199,23621,805,366,45.5,349,43.4,13302,75105,40318,862,593,266,539,327,15234,1556
vs Newcastle Utd,32,47.8,38.0,22533,2797,7324,9694,5791,925,22528,746,379,50.8,302,40.5,12728,67885,34034,699,508,245,513,359,14420,1328
vs Nott'ham Forest,33,59.4,38.0,27160,2343,7385,12613,7355,986,27156,685,282,41.2,325,47.4,16411,87453,47491,812,593,193,585,403,18927,1882
vs Sheffield Utd,35,64.2,38.0,28726,2051,7261,13709,7971,1290,28719,709,336,47.4,299,42.2,17715,94065,49379,967,679,299,549,410,20344,1953
vs Tottenham,29,38.4,38.0,19605,2928,7637,7184,4978,889,19598,763,331,43.4,360,47.2,10094,50889,24976,526,352,194,494,364,11528,1090
vs West Ham,26,58.9,38.0,27970,2456,7914,12490,7789,1289,27960,667,300,45.0,307,46.0,16671,88799,48084,963,666,285,519,377,19625,2004
vs Wolves,27,51.1,38.0,24402,2229,6816,10810,6974,1124,24393,679,295,43.4,312,45.9,14016,71994,37536,734,524,237,576,427,16320,1726
