Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,VCH,VCD,VCA
21/08/10,Arsenal,Blackpool,6.0,0.0,H,3.0,0.0,H,M Jones,26.0,3.0,16.0,1.0,9.0,3.0,8.0,2.0,0.0,0.0,0.0,1.0,1.17,7.0,19.0,1.16,6.5,15.5,1.17,5.8,13.0,1.17,7.0,17.0,1.18,7.0,17.0
21/08/10,Birmingham,Blackburn,2.0,1.0,H,0.0,0.0,D,M Oliver,10.0,7.0,7.0,2.0,13.0,14.0,4.0,12.0,2.0,3.0,0.0,0.0,2.2,3.25,3.4,2.2,3.1,3.3,2.3,3.2,2.8,2.3,3.2,3.1,2.3,3.25,3.3
21/08/10,Everton,Wolves,1.0,1.0,D,1.0,0.0,H,L Mason,14.0,9.0,6.0,4.0,18.0,15.0,3.0,3.0,1.0,2.0,0.0,0.0,1.5,4.0,7.0,1.45,4.0,7.0,1.5,3.8,5.7,1.5,3.75,7.5,1.53,3.8,8.0
21/08/10,Stoke,Tottenham,1.0,2.0,A,1.0,2.0,A,C Foy,15.0,7.0,10.0,6.0,15.0,4.0,6.0,2.0,3.0,1.0,0.0,0.0,3.4,3.3,2.2,3.3,3.2,2.15,3.2,3.2,2.1,3.3,3.2,2.25,3.4,3.2,2.25
21/08/10,West Brom,Sunderland,1.0,0.0,H,0.0,0.0,D,K Friend,11.0,10.0,5.0,4.0,16.0,12.0,4.0,6.0,2.0,2.0,0.0,0.0,2.5,3.25,2.88,2.45,3.2,2.75,2.4,3.2,2.7,2.5,3.1,2.9,2.4,3.25,3.0
21/08/10,West Ham,Bolton,1.0,3.0,A,0.0,0.0,D,A Marriner,17.0,12.0,10.0,8.0,11.0,18.0,8.0,5.0,2.0,4.0,0.0,0.0,2.25,3.3,3.25,2.15,3.25,3.25,2.2,3.3,2.9,2.25,3.2,3.3,2.3,3.25,3.3
21/08/10,Wigan,Chelsea,0.0,6.0,A,0.0,1.0,A,M Dean,17.0,10.0,12.0,8.0,12.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,15.0,6.0,1.22,12.5,5.5,1.22,9.0,4.9,1.28,12.0,5.5,1.25,15.0,6.0,1.22
22/08/10,Fulham,Man United,2.0,2.0,D,0.0,1.0,A,P Walton,16.0,14.0,8.0,7.0,7.0,6.0,5.0,11.0,2.0,2.0,0.0,0.0,6.0,4.0,1.57,6.25,3.8,1.53,5.4,3.7,1.55,6.0,3.6,1.62,6.0,3.8,1.62
22/08/10,Newcastle,Aston Villa,6.0,0.0,H,3.0,0.0,H,M Atkinson,20.0,3.0,14.0,1.0,15.0,12.0,10.0,2.0,3.0,1.0,0.0,0.0,3.2,3.25,2.3,2.85,3.25,2.35,2.8,3.2,2.3,3.1,3.1,2.4,3.0,3.3,2.4
23/08/10,Man City,Liverpool,3.0,0.0,H,1.0,0.0,H,P Dowd,8.0,13.0,3.0,7.0,13.0,12.0,5.0,4.0,1.0,1.0,0.0,0.0,2.38,3.25,3.1,2.25,3.2,3.05,2.4,3.2,2.7,2.4,3.1,3.1,2.38,3.2,3.2
28/08/10,Blackburn,Arsenal,1.0,2.0,A,1.0,1.0,D,C Foy,15.0,14.0,7.0,9.0,9.0,7.0,4.0,8.0,1.0,0.0,0.0,0.0,6.0,4.0,1.57,6.0,3.75,1.55,5.0,3.6,1.6,6.0,3.8,1.57,5.5,3.8,1.67
28/08/10,Blackpool,Fulham,2.0,2.0,D,0.0,1.0,A,M Oliver,14.0,12.0,5.0,7.0,13.0,16.0,4.0,5.0,1.0,0.0,0.0,0.0,3.2,3.25,2.3,2.95,3.3,2.3,2.7,3.2,2.4,3.2,3.2,2.3,3.12,3.3,2.3
28/08/10,Chelsea,Stoke,2.0,0.0,H,1.0,0.0,H,M Atkinson,15.0,9.0,6.0,3.0,5.0,10.0,6.0,1.0,0.0,2.0,0.0,0.0,1.11,9.0,23.0,1.1,8.25,20.0,1.12,7.0,14.0,1.1,9.5,21.0,1.11,8.5,29.0
28/08/10,Man United,West Ham,3.0,0.0,H,1.0,0.0,H,M Clattenburg,18.0,7.0,11.0,2.0,6.0,11.0,9.0,3.0,1.0,2.0,0.0,0.0,1.14,8.0,19.0,1.12,7.5,18.5,1.17,5.8,13.0,1.12,8.0,21.0,1.14,7.5,23.0
28/08/10,Tottenham,Wigan,0.0,1.0,A,0.0,0.0,D,P Dowd,12.0,13.0,7.0,5.0,10.0,11.0,16.0,7.0,3.0,2.0,0.0,0.0,1.25,5.75,13.0,1.22,5.75,11.5,1.25,5.0,10.0,1.25,5.5,12.0,1.25,6.0,13.0
28/08/10,Wolves,Newcastle,1.0,1.0,D,1.0,0.0,H,S Attwell,5.0,11.0,2.0,6.0,20.0,17.0,5.0,3.0,7.0,4.0,0.0,0.0,2.4,3.2,3.1,2.35,3.25,2.85,2.4,3.2,2.7,2.4,3.2,3.0,2.5,3.2,3.0
29/08/10,Aston Villa,Everton,1.0,0.0,H,1.0,0.0,H,M Jones,12.0,15.0,6.0,9.0,19.0,10.0,4.0,16.0,4.0,0.0,0.0,0.0,2.5,3.25,2.88,2.45,3.2,2.8,2.4,3.2,2.7,2.5,3.2,2.88,2.6,3.25,2.75
29/08/10,Bolton,Birmingham,2.0,2.0,D,0.0,1.0,A,K Friend,11.0,9.0,8.0,5.0,19.0,17.0,6.0,1.0,2.0,3.0,1.0,0.0,2.1,3.3,3.6,2.05,3.3,3.45,2.2,3.2,3.0,2.1,3.2,3.6,2.15,3.3,3.5
29/08/10,Liverpool,West Brom,1.0,0.0,H,0.0,0.0,D,L Probert,11.0,14.0,7.0,5.0,9.0,8.0,7.0,6.0,0.0,0.0,0.0,1.0,1.22,6.0,15.0,1.22,5.5,12.5,1.2,5.5,12.0,1.2,6.0,15.0,1.25,5.5,15.0
29/08/10,Sunderland,Man City,1.0,0.0,H,0.0,0.0,D,M Dean,12.0,9.0,4.0,7.0,5.0,9.0,3.0,7.0,0.0,3.0,0.0,0.0,4.5,3.5,1.83,4.25,3.6,1.75,3.7,3.3,1.9,4.2,3.5,1.83,4.4,3.5,1.83
11/09/10,Arsenal,Bolton,4.0,1.0,H,1.0,1.0,D,S Attwell,23.0,7.0,14.0,6.0,11.0,11.0,9.0,6.0,2.0,2.0,0.0,1.0,1.25,5.5,13.0,1.2,5.75,13.5,1.2,5.5,12.0,1.2,6.0,15.0,1.25,5.5,15.0
11/09/10,Everton,Man United,3.0,3.0,D,1.0,1.0,D,M Atkinson,23.0,13.0,14.0,8.0,11.0,18.0,7.0,5.0,1.0,1.0,0.0,0.0,4.2,3.4,1.91,4.25,3.4,1.8,3.8,3.4,1.85,4.2,3.3,1.91,4.4,3.4,1.85
11/09/10,Fulham,Wolves,2.0,1.0,H,0.0,1.0,A,P Dowd,13.0,4.0,6.0,2.0,9.0,17.0,6.0,6.0,3.0,6.0,0.0,1.0,1.83,3.5,4.5,1.75,3.4,4.6,1.8,3.4,4.0,1.83,3.4,4.5,1.83,3.5,4.6
11/09/10,Man City,Blackburn,1.0,1.0,D,0.0,1.0,A,M Clattenburg,20.0,4.0,14.0,2.0,12.0,10.0,14.0,2.0,2.0,1.0,0.0,0.0,1.33,5.0,10.0,1.3,5.0,9.0,1.35,4.5,7.3,1.33,5.0,9.0,1.33,5.0,11.0
11/09/10,Newcastle,Blackpool,0.0,2.0,A,0.0,1.0,A,L Mason,16.0,7.0,13.0,4.0,15.0,14.0,3.0,2.0,2.0,3.0,0.0,0.0,1.57,4.0,6.0,1.53,4.1,5.5,1.6,3.6,5.0,1.57,4.0,5.5,1.57,4.0,6.0
11/09/10,West Brom,Tottenham,1.0,1.0,D,1.0,1.0,D,H Webb,15.0,16.0,8.0,9.0,12.0,9.0,9.0,4.0,2.0,1.0,0.0,0.0,3.75,3.25,2.1,3.75,3.3,1.95,3.3,3.3,2.0,3.5,3.4,2.05,3.8,3.3,2.05
11/09/10,West Ham,Chelsea,1.0,3.0,A,0.0,2.0,A,C Foy,13.0,17.0,7.0,9.0,13.0,10.0,1.0,5.0,2.0,2.0,0.0,0.0,10.0,5.0,1.33,9.0,5.0,1.3,7.3,4.5,1.35,9.0,5.0,1.33,11.0,5.0,1.33
11/09/10,Wigan,Sunderland,1.0,1.0,D,0.0,0.0,D,A Marriner,17.0,4.0,4.0,2.0,19.0,11.0,5.0,1.0,4.0,2.0,0.0,1.0,2.5,3.25,2.88,2.4,3.2,2.85,2.3,3.2,2.8,2.5,3.25,2.8,2.5,3.3,2.88
12/09/10,Birmingham,Liverpool,0.0,0.0,D,0.0,0.0,D,M Halsey,15.0,14.0,3.0,8.0,8.0,9.0,4.0,3.0,1.0,0.0,0.0,0.0,3.1,3.2,2.4,3.25,3.25,2.15,2.8,3.2,2.3,3.3,3.25,2.2,3.2,3.2,2.38
13/09/10,Stoke,Aston Villa,2.0,1.0,H,0.0,1.0,A,L Probert,20.0,10.0,12.0,6.0,11.0,14.0,8.0,7.0,1.0,2.0,0.0,0.0,2.5,3.25,2.88,2.5,3.15,2.75,2.55,3.2,2.55,2.5,3.25,2.8,2.6,3.2,2.88
18/09/10,Aston Villa,Bolton,1.0,1.0,D,1.0,1.0,D,M Dean,13.0,13.0,6.0,7.0,15.0,8.0,8.0,4.0,1.0,2.0,0.0,0.0,1.8,3.6,4.5,1.8,3.3,4.5,1.8,3.4,4.0,1.8,3.5,4.5,1.83,3.5,4.75
18/09/10,Blackburn,Fulham,1.0,1.0,D,1.0,0.0,H,A Taylor,9.0,9.0,5.0,4.0,15.0,10.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,3.3,4.0,2.0,3.3,3.55,2.05,3.2,3.3,2.05,3.3,3.6,2.1,3.3,3.8
18/09/10,Everton,Newcastle,0.0,1.0,A,0.0,1.0,A,A Marriner,6.0,9.0,3.0,4.0,15.0,21.0,3.0,6.0,2.0,3.0,0.0,0.0,1.62,3.75,6.0,1.6,3.6,5.5,1.7,3.5,4.4,1.62,3.75,5.5,1.62,3.75,6.0
18/09/10,Stoke,West Ham,1.0,1.0,D,0.0,1.0,A,L Mason,9.0,13.0,3.0,6.0,14.0,8.0,6.0,3.0,3.0,2.0,0.0,0.0,1.91,3.4,4.2,1.95,3.35,3.7,2.0,3.3,3.3,1.95,3.3,4.0,1.91,3.6,4.33
18/09/10,Sunderland,Arsenal,1.0,1.0,D,0.0,1.0,A,P Dowd,16.0,16.0,5.0,7.0,11.0,13.0,11.0,3.0,2.0,2.0,0.0,1.0,5.5,3.7,1.67,5.3,3.6,1.62,4.4,3.5,1.7,5.5,3.5,1.67,5.25,3.75,1.67
18/09/10,Tottenham,Wolves,3.0,1.0,H,0.0,1.0,A,M Jones,20.0,5.0,11.0,2.0,7.0,11.0,5.0,4.0,3.0,3.0,0.0,0.0,1.4,4.5,8.5,1.4,4.25,7.5,1.4,4.1,7.0,1.44,4.2,8.5,1.44,4.4,8.0
18/09/10,West Brom,Birmingham,3.0,1.0,H,0.0,1.0,A,C Foy,16.0,6.0,10.0,3.0,11.0,8.0,5.0,0.0,1.0,1.0,0.0,0.0,2.25,3.3,3.25,2.2,3.2,3.15,2.4,3.1,2.8,2.25,3.25,3.2,2.3,3.3,3.25
19/09/10,Chelsea,Blackpool,4.0,0.0,H,4.0,0.0,H,M Clattenburg,27.0,11.0,15.0,4.0,7.0,4.0,9.0,6.0,1.0,2.0,0.0,0.0,1.1,9.0,26.0,1.1,8.25,20.0,1.12,7.0,14.0,1.1,9.0,21.0,1.1,10.0,29.0
19/09/10,Man United,Liverpool,3.0,2.0,H,1.0,0.0,H,H Webb,16.0,7.0,7.0,1.0,15.0,10.0,6.0,1.0,4.0,1.0,0.0,0.0,1.7,3.5,5.5,1.65,3.6,5.0,1.75,3.4,4.3,1.67,3.5,5.5,1.73,3.75,5.5
19/09/10,Wigan,Man City,0.0,2.0,A,0.0,1.0,A,L Probert,9.0,11.0,3.0,5.0,10.0,14.0,3.0,1.0,1.0,2.0,0.0,0.0,5.0,3.6,1.73,5.0,3.6,1.65,4.0,3.4,1.8,4.8,3.6,1.73,5.0,3.5,1.8
25/09/10,Arsenal,West Brom,2.0,3.0,A,0.0,0.0,D,M Oliver,24.0,7.0,12.0,5.0,15.0,14.0,16.0,4.0,4.0,3.0,0.0,0.0,1.22,6.0,15.0,1.16,6.0,18.0,1.2,5.5,12.0,1.22,6.0,13.0,1.22,6.5,17.0
25/09/10,Birmingham,Wigan,0.0,0.0,D,0.0,0.0,D,M Clattenburg,10.0,17.0,4.0,10.0,12.0,18.0,3.0,7.0,2.0,3.0,1.0,0.0,1.83,3.5,4.5,1.8,3.3,4.5,1.85,3.4,3.8,1.83,3.4,4.5,1.83,3.5,4.75
25/09/10,Blackpool,Blackburn,1.0,2.0,A,0.0,1.0,A,M Dean,11.0,13.0,8.0,8.0,12.0,11.0,8.0,8.0,2.0,1.0,0.0,0.0,3.2,3.25,2.3,3.15,3.25,2.2,2.75,3.2,2.35,3.0,3.2,2.38,3.2,3.3,2.38
25/09/10,Fulham,Everton,0.0,0.0,D,0.0,0.0,D,H Webb,12.0,15.0,2.0,7.0,15.0,13.0,4.0,5.0,2.0,1.0,0.0,0.0,2.75,3.2,2.63,2.55,3.2,2.65,2.5,3.2,2.6,2.7,3.1,2.7,2.75,3.25,2.75
25/09/10,Liverpool,Sunderland,2.0,2.0,D,1.0,1.0,D,S Attwell,13.0,10.0,5.0,1.0,15.0,7.0,3.0,3.0,3.0,1.0,0.0,0.0,1.44,4.33,7.5,1.45,4.0,7.0,1.45,3.9,6.5,1.44,4.2,7.5,1.44,4.33,8.5
25/09/10,Man City,Chelsea,1.0,0.0,H,0.0,0.0,D,A Marriner,8.0,15.0,6.0,4.0,10.0,12.0,3.0,4.0,2.0,3.0,0.0,0.0,3.6,3.3,2.1,3.65,3.25,2.0,3.0,3.2,2.2,3.4,3.2,2.2,3.6,3.4,2.15
25/09/10,West Ham,Tottenham,1.0,0.0,H,1.0,0.0,H,M Atkinson,22.0,17.0,15.0,11.0,10.0,11.0,14.0,7.0,2.0,0.0,0.0,0.0,3.5,3.4,2.1,3.5,3.35,2.0,3.1,3.3,2.1,3.4,3.4,2.1,3.75,3.4,2.1
