Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,01-Mar,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,PrgR,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Season
vs Arsenal,3,26.7,46.2,38,38,3420,38,35,25,60,33,2,6,74,2,43,40.6,31.8,72.4,604,1175,0.92,0.66,1.58,0.87,1.53,1.13,0.84,1.97,1.07,1.91,129,126,30.6,10.84,3.32,0.08,0.26,17.8,2,0.1,-8,-7.6,239,617,38.7,66700,33431,7194,266,89.9,6173,7125,86.6,1478,2802,52.7,26.6,-6.8,304,464,262,64,22813,1569,14,111,652,657,3,70,55,9,53,391,711,18.71,515,60,48,335,15,59,1.55,37,5,4,8,4,1,499,285,7657,10092,5265,239,44.7,504,262,369,868,752,16,22816,2643,721,335,61.2,212,38.8,13140,162,507,244,15224,1165,90,100,84,320,100,21,215,1.21,39,55,-16,-0.42,43,51.8,-8.8,-0.23,1,421,3,6,2,1822,594,54.1,55,1.45,146,93,66.4,13,7,18,12,31.6,6,0,0,0,47.6,0.29,-5.4,-0.14,1076,140,42.1,35.7,61.7,44.2,564,21,3.7,38,1,14.7,2020/2021
vs Aston Villa,1,26.7,51.9,38,38,3420,38,45,30,75,40,5,6,73,7,51.1,46.4,31.1,77.5,726,1549,1.18,0.79,1.97,1.05,1.84,1.34,0.82,2.16,1.22,2.04,145,180,33.8,14,4.74,0.08,0.22,18.1,0,0.09,-6.1,-6.4,194,549,35.3,66245,35967,6833,287,88.4,5491,6601,83.2,1347,2806,48,30.1,-1.1,375,508,362,84,22492,1782,16,151,784,735,6,86,62,5,47,377,938,24.68,710,58,51,419,5,78,2.05,53,5,5,8,6,1,563,322,7471,9303,5952,226,38,728,232,355,918,804,18,22498,2506,955,321,55.2,261,44.8,12009,200,551,269,14149,1534,90,100,86,309,103,21,216,1.37,46,55,-9,-0.24,51.1,52.5,-1.4,-0.04,2,568,5,6,3,1962,665,47.7,55,1.45,183,131,72.7,15,7,16,8,21.1,5,0,1,0,52,0.26,0,0,866,134,42.5,36,63.1,45.6,624,26,4.2,29,0.76,14.2,2020/2021
vs Brighton,2,26.4,48.7,38,38,3420,38,44,30,74,38,6,9,51,2,35.3,29.8,23.3,53.2,587,1302,1.16,0.79,1.95,1,1.79,0.93,0.61,1.54,0.79,1.4,154,119,33.9,9.24,3.13,0.11,0.32,18.6,0,0.09,8.7,8.2,184,535,34.4,68904,34879,7274,321,88.8,6040,7081,85.3,1385,2707,51.2,25,6.7,264,464,264,66,23193,1775,16,102,625,752,5,74,40,2,54,417,625,16.45,474,51,36,406,8,76,2,53,8,2,5,7,1,528,316,7588,10460,5345,222,38.8,531,263,456,984,717,15,23200,2436,677,351,58.2,253,42,13163,141,591,376,15157,1290,90,100,85,318,99,23,215,1.55,46,40,6,0.16,35.3,50.9,-15.6,-0.41,0,376,6,9,1,1886,574,51.9,40,1.05,140,101,75.7,15,14,9,12,31.6,6,0,3,0,40.8,0.26,1.8,0.05,898,197,38.2,34.1,59.8,43.8,535,26,4.9,35,0.92,13.3,2020/2021
vs Burnley,3,26.6,58.3,38,38,3420,38,54,47,101,51,3,3,32,2,54.7,52.3,42.5,94.8,884,1665,1.42,1.24,2.66,1.34,2.58,1.44,1.12,2.56,1.38,2.5,87,176,31,14.92,4.63,0.09,0.29,17.4,0,0.09,-0.7,-1.3,165,619,26.7,79971,43477,8139,264,87.8,6585,7792,84.5,1580,3182,49.7,37.7,4.5,454,587,402,83,25552,1811,24,162,801,796,6,76,74,7,79,300,1026,27,802,74,59,364,8,101,2.66,85,2,7,4,3,0,447,261,8190,11216,6361,163,41.1,874,213,308,755,811,12,25555,2502,975,335,59.3,226,40,14183,219,568,278,16861,1657,90,100,86,317,99,19,215,1.74,55,33,22,0.58,54.7,39.3,15.4,0.4,0,403,3,3,1,2051,854,49.4,33,0.87,127,95,76.4,19,9,10,17,44.7,3,0,0,0,32.2,0.23,0.2,0.01,1089,225,39.9,34.5,69.7,48.2,621,51,8.2,45,1.18,12.1,2020/2021
vs Chelsea,3,26.3,38.6,38,38,3420,38,35,26,61,32,3,10,56,3,30.3,27.1,20.2,47.3,497,1062,0.92,0.68,1.61,0.84,1.53,0.8,0.53,1.33,0.71,1.25,153,103,31,8.74,2.71,0.1,0.31,19.3,0,0.08,4.7,4.9,201,577,34.8,57273,27861,5957,282,86.9,5039,6036,83.5,1311,2614,50.2,19.6,5.8,241,384,188,32,20753,1844,15,101,533,821,9,64,52,7,54,464,587,15.45,436,41,32,415,9,56,1.47,40,2,5,3,4,2,584,313,7109,9099,4733,298,45.4,569,311,430,1014,761,16,20757,2531,565,339,59.5,231,40.5,10799,107,572,381,12689,1055,90,100,84,314,104,19,206,0.97,36,58,-22,-0.58,30.3,62.4,-32.1,-0.85,1,377,4,10,2,1845,515,47.5,58,1.53,203,145,75.4,9,10,19,10,26.3,8,2,0,20,58.9,0.25,2.9,0.08,947,174,42.8,35.9,61,44.7,579,22,3.8,11,0.29,10.1,2020/2021
vs Crystal Palace,2,26.4,59.9,38,38,3420,38,66,47,113,63,3,4,44,4,58.2,55.1,42.7,97.8,666,1807,1.74,1.24,2.97,1.66,2.89,1.53,1.12,2.66,1.45,2.57,97,170,31.8,14.08,4.47,0.12,0.37,16.7,1,0.11,7.8,7.9,125,320,39.1,83958,43503,8788,197,89.8,7498,8536,87.8,1917,3121,61.4,37.4,4.3,401,508,389,113,27165,1761,19,246,795,815,2,99,91,9,46,397,953,25.08,671,96,45,387,10,111,2.92,86,4,4,10,6,1,682,400,7042,13508,6808,280,43.4,685,300,378,1060,597,11,27169,1926,890,337,54.4,283,45.6,16162,140,606,353,18907,1798,90,100,86,315,101,18,212,1.63,66,41,25,0.66,58.2,34.1,24.2,0.64,1,455,3,4,2,1995,658,49,41,1.08,131,91,71,18,8,12,14,36.8,3,1,0,25,32.5,0.22,-6.5,-0.17,804,177,29.6,30.7,41.6,35.3,384,26,6.8,33,0.87,14.7,2020/2021
vs Everton,3,26.4,53.5,38,38,3420,38,47,33,80,44,3,5,66,1,50.1,46.9,33.8,80.7,794,1664,1.24,0.87,2.11,1.16,2.03,1.32,0.89,2.21,1.24,2.12,99,158,31.5,13.18,4.16,0.09,0.28,18,0,0.1,-3.1,-2.9,133,406,32.8,78959,41468,8437,238,90.4,7182,8211,87.5,1488,2758,54,29,-0.8,367,607,313,59,25596,1766,28,136,746,794,10,101,69,9,42,398,891,23.45,661,73,46,372,14,85,2.24,61,6,6,3,5,4,573,314,7302,12068,6454,229,38.7,665,299,357,930,655,9,25600,2093,873,398,59.9,266,40.1,14327,181,635,374,17537,1651,90,100,85,317,100,19,215,1.24,48,47,1,0.03,50.1,45.7,4.5,0.12,0,409,4,5,2,1997,486,42.2,47,1.24,148,102,70.9,13,8,17,10,26.3,4,1,0,20,44.1,0.27,-0.9,-0.02,882,186,32.7,31.9,49.6,40.4,494,29,5.9,35,0.92,14,2020/2021
vs Fulham,2,26.6,50.1,38,38,3420,38,52,34,86,45,7,6,40,1,52.6,47.2,37.4,84.5,559,1327,1.37,0.89,2.26,1.18,2.08,1.38,0.98,2.37,1.24,2.22,121,163,38.7,11.08,4.29,0.11,0.28,17,0,0.12,-0.6,-2.2,178,500,35.6,68983,34518,6859,278,87.2,6751,7825,86.3,1645,3103,53,33.9,-3.4,302,456,268,82,24180,1849,26,116,693,829,3,68,87,5,103,426,751,19.76,522,69,44,462,7,91,2.39,65,6,6,4,9,1,682,373,7606,11296,5503,289,36.4,649,305,404,1086,729,16,24187,2377,752,327,56.3,254,43.7,13534,139,555,347,15656,1317,90,100,85,319,99,21,216,1.92,53,27,26,0.68,52.6,40.5,12.1,0.32,0,387,6,6,1,1986,625,49.1,27,0.71,129,102,81.4,20,13,5,18,47.4,3,1,2,25,31.1,0.21,5.1,0.14,910,167,38.8,35.4,52.9,42.8,562,32,5.7,42,1.11,15,2020/2021
vs Leeds United,2,26.5,42.4,38,38,3420,38,52,36,88,44,8,4,49,2,57.9,50.7,39.3,90,720,1201,1.37,0.95,2.32,1.16,2.11,1.52,1.03,2.56,1.33,2.37,126,189,34.4,14.45,4.97,0.08,0.23,18,2,0.09,-5.9,-6.7,229,635,36.1,67444,35138,5672,320,85.6,3968,4993,79.5,1131,2498,45.3,30.7,-3.3,422,557,277,36,19777,1916,20,57,613,807,8,104,92,6,53,448,951,25.03,629,100,69,422,25,86,2.26,47,9,7,13,10,0,564,318,6410,8265,5409,245,43.5,538,322,426,990,812,14,19786,2395,875,459,59.7,311,40.4,10613,184,663,431,11160,1188,90,100,83,311,107,20,203,1.32,54,62,-8,-0.21,57.9,55.6,2.2,0.06,1,432,8,4,2,2165,605,52.9,62,1.63,197,136,70.6,15,5,18,10,26.3,4,0,0,0,60.3,0.29,0.3,0.01,910,184,42.4,35.3,77.8,51.5,634,33,5.2,35,0.92,13.4,2020/2021
vs Leicester City,1,26.5,45.4,38,38,3420,38,48,29,77,44,4,12,61,1,46,42.9,33,75.9,567,1254,1.26,0.76,2.03,1.16,1.92,1.21,0.87,2.08,1.13,2,140,132,36.1,9.63,3.47,0.12,0.33,16.1,1,0.12,2,1.1,175,497,35.2,64847,33298,6134,242,85.8,5785,6853,84.4,1440,2807,51.3,30.7,-4,277,452,267,64,22040,1817,26,148,647,831,5,107,54,3,72,450,658,17.32,438,77,42,399,6,82,2.16,51,8,8,9,5,1,609,350,7030,10289,4962,287,44.5,600,310,449,1058,679,15,22044,2246,656,381,56.4,295,43.6,11743,108,558,386,13694,1237,90,100,85,314,103,21,213,1.11,50,68,-18,-0.47,46,55.8,-9.8,-0.26,0,439,2,12,4,2047,590,49.6,68,1.79,182,116,68.1,12,6,20,6,15.8,10,2,0,16.7,56.9,0.25,-7.1,-0.19,914,181,38.9,34.7,58.3,43.5,494,17,3.4,39,1.03,15.3,2020/2021
