Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
36,Manuel Akanji,ch SUI,CB,Manchester City,28,"£ 180,000 (€ 210,087, $229,181)","£ 9,360,000 (€ 10,924,547, $11,917,391)",
37,Rúben Dias,pt POR,CB,Manchester City,27,"£ 180,000 (€ 210,087, $229,181)","£ 9,360,000 (€ 10,924,547, $11,917,391)",
38,Enzo Fernández,ar ARG,CM,Chelsea,23,"£ 180,000 (€ 210,087, $229,181)","£ 9,360,000 (€ 10,924,547, $11,917,391)",
39,Kyle Walker,eng ENG,RB,Manchester City,34,"£ 175,000 (€ 204,252, $222,814)","£ 9,100,000 (€ 10,621,088, $11,586,352)",Unverified estimation
40,Marc Cucurella,es ESP,LB,Chelsea,25,"£ 175,000 (€ 204,252, $222,814)","£ 9,100,000 (€ 10,621,088, $11,586,352)",
Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
41,James Maddison,eng ENG,AM,Tottenham,27,"£ 170,000 (€ 198,416, $216,448)","£ 8,840,000 (€ 10,317,628, $11,255,313)",
42,Cristian Romero,ar ARG,CB,Tottenham,26,"£ 165,000 (€ 192,580, $210,082)","£ 8,580,000 (€ 10,014,168, $10,924,275)",
43,Timo Werner,de GER,CF,Tottenham,28,"£ 165,000 (€ 192,580, $210,082)","£ 8,580,000 (€ 10,014,168, $10,924,275)",
44,Bruno Guimarães,br BRA,DM,Newcastle Utd,26,"£ 160,000 (€ 186,744, $203,716)","£ 8,320,000 (€ 9,710,709, $10,593,236)",
45,Nathan Aké,nl NED,CB,Manchester City,29,"£ 160,000 (€ 186,744, $203,716)","£ 8,320,000 (€ 9,710,709, $10,593,236)",
46,Ben White,eng ENG,RB,Arsenal,26,"£ 150,000 (€ 175,073, $190,984)","£ 7,800,000 (€ 9,103,790, $9,931,159)",Unverified estimation
47,Oleksandr Zinchenko,ua UKR,LB,Arsenal,27,"£ 150,000 (€ 175,073, $190,984)","£ 7,800,000 (€ 9,103,790, $9,931,159)",
48,Christian Eriksen,dk DEN,CM,Manchester Utd,32,"£ 150,000 (€ 175,073, $190,984)","£ 7,800,000 (€ 9,103,790, $9,931,159)",
