Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
170,Kostas Tsimikas,gr GRE,LB,Liverpool,28,"£ 75,000 (€ 87,536, $95,492)","£ 3,900,000 (€ 4,551,895, $4,965,579)",Unverified estimation
171,Emi Buendía,ar ARG,RW,Aston Villa,27,"£ 75,000 (€ 87,536, $95,492)","£ 3,900,000 (€ 4,551,895, $4,965,579)",
172,Ezri Konsa,eng ENG,CB,Aston Villa,26,"£ 75,000 (€ 87,536, $95,492)","£ 3,900,000 (€ 4,551,895, $4,965,579)",Unverified estimation
173,Conor Coady,eng ENG,CB,Leicester City,31,"£ 75,000 (€ 87,536, $95,492)","£ 3,900,000 (€ 4,551,895, $4,965,579)",Unverified estimation
174,Patson Daka,zm ZAM,CF,Leicester City,25,"£ 75,000 (€ 87,536, $95,492)","£ 3,900,000 (€ 4,551,895, $4,965,579)",Unverified estimation
175,Wilfred Ndidi,ng NGA,DM,Leicester City,27,"£ 75,000 (€ 87,536, $95,492)","£ 3,900,000 (€ 4,551,895, $4,965,579)",
176,Ibrahim Sangaré,ci CIV,DM,Nott'ham Forest,26,"£ 75,000 (€ 87,536, $95,492)","£ 3,900,000 (€ 4,551,895, $4,965,579)",Unverified estimation
177,Jonjo Shelvey,eng ENG,CM,Nott'ham Forest,32,"£ 75,000 (€ 87,536, $95,492)","£ 3,900,000 (€ 4,551,895, $4,965,579)",
178,Joe Aribo,ng NGA,CM,Southampton,27,"£ 70,000 (€ 81,701, $89,126)","£ 3,640,000 (€ 4,248,435, $4,634,541)",
179,Brennan Johnson,wls WAL,RW,Tottenham,23,"£ 70,000 (€ 81,701, $89,126)","£ 3,640,000 (€ 4,248,435, $4,634,541)",Unverified estimation
180,Giovani Lo Celso,ar ARG,AM,Tottenham,28,"£ 70,000 (€ 81,701, $89,126)","£ 3,640,000 (€ 4,248,435, $4,634,541)",
181,Pape Matar Sarr,sn SEN,CM,Tottenham,21,"£ 70,000 (€ 81,701, $89,126)","£ 3,640,000 (€ 4,248,435, $4,634,541)",Unverified estimation
182,Cheick Doucouré,ml MLI,DM,Crystal Palace,24,"£ 70,000 (€ 81,701, $89,126)","£ 3,640,000 (€ 4,248,435, $4,634,541)",Unverified estimation
183,Jefferson Lerma,co COL,DM,Crystal Palace,29,"£ 70,000 (€ 81,701, $89,126)","£ 3,640,000 (€ 4,248,435, $4,634,541)",Unverified estimation
184,Dominic Solanke,eng ENG,CF,Bournemouth,26,"£ 70,000 (€ 81,701, $89,126)","£ 3,640,000 (€ 4,248,435, $4,634,541)",Unverified estimation
185,Ibrahima Konaté,fr FRA,CB,Liverpool,25,"£ 70,000 (€ 81,701, $89,126)","£ 3,640,000 (€ 4,248,435, $4,634,541)",
186,Jacob Ramsey,eng ENG,AM,Aston Villa,23,"£ 70,000 (€ 81,701, $89,126)","£ 3,640,000 (€ 4,248,435, $4,634,541)",
187,Hwang Hee-chan,kr KOR,CF,Wolves,28,"£ 70,000 (€ 81,701, $89,126)","£ 3,640,000 (€ 4,248,435, $4,634,541)",Unverified estimation
188,Mason Holgate,eng ENG,CB,Everton,27,"£ 70,000 (€ 81,701, $89,126)","£ 3,640,000 (€ 4,248,435, $4,634,541)",
189,Issa Diop,fr FRA,CB,Fulham,27,"£ 70,000 (€ 81,701, $89,126)","£ 3,640,000 (€ 4,248,435, $4,634,541)",Unverified estimation
190,Jonny Evans,nir NIR,CB,Manchester Utd,36,"£ 65,000 (€ 75,865, $82,760)","£ 3,380,000 (€ 3,944,975, $4,303,502)",
191,Luis Sinisterra,co COL,LW,Bournemouth,25,"£ 65,000 (€ 75,865, $82,760)","£ 3,380,000 (€ 3,944,975, $4,303,502)",Unverified estimation
192,Łukasz Fabiański,pl POL,GK,West Ham,39,"£ 65,000 (€ 75,865, $82,760)","£ 3,380,000 (€ 3,944,975, $4,303,502)",
193,Maxwel Cornet,ci CIV,LW,West Ham,27,"£ 65,000 (€ 75,865, $82,760)","£ 3,380,000 (€ 3,944,975, $4,303,502)",Unverified estimation
194,Nathaniel Phillips,eng ENG,CB,Liverpool,27,"£ 65,000 (€ 75,865, $82,760)","£ 3,380,000 (€ 3,944,975, $4,303,502)",
195,Nicolas Jackson,sn SEN,CF,Chelsea,23,"£ 65,000 (€ 75,865, $82,760)","£ 3,380,000 (€ 3,944,975, $4,303,502)",Unverified estimation
196,Pascal Groß,de GER,CM,Brighton,33,"£ 65,000 (€ 75,865, $82,760)","£ 3,380,000 (€ 3,944,975, $4,303,502)",Unverified estimation
197,Adama Traoré,es ESP,RW,Fulham,28,"£ 65,000 (€ 75,865, $82,760)","£ 3,380,000 (€ 3,944,975, $4,303,502)",Unverified estimation
198,Timothy Castagne,be BEL,RB,Fulham,28,"£ 65,000 (€ 75,865, $82,760)","£ 3,380,000 (€ 3,944,975, $4,303,502)",Unverified estimation
199,Saša Lukić,rs SRB,CM,Fulham,27,"£ 63,000 (€ 73,531, $80,213)","£ 3,276,000 (€ 3,823,592, $4,171,087)",
200,Scott McTominay,sct SCO,CM,Manchester Utd,27,"£ 60,000 (€ 70,029, $76,394)","£ 3,120,000 (€ 3,641,516, $3,972,464)",
Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
201,Adam Armstrong,eng ENG,CF,Southampton,27,"£ 60,000 (€ 70,029, $76,394)","£ 3,120,000 (€ 3,641,516, $3,972,464)",Unverified estimation
202,Jan Bednarek,pl POL,CB,Southampton,28,"£ 60,000 (€ 70,029, $76,394)","£ 3,120,000 (€ 3,641,516, $3,972,464)",
203,Manor Solomon,il ISR,LW,Tottenham,24,"£ 60,000 (€ 70,029, $76,394)","£ 3,120,000 (€ 3,641,516, $3,972,464)",
204,Jeffrey Schlupp,gh GHA,LM,Crystal Palace,31,"£ 60,000 (€ 70,029, $76,394)","£ 3,120,000 (€ 3,641,516, $3,972,464)",Unverified estimation
205,Lewis Cook,eng ENG,CM,Bournemouth,27,"£ 60,000 (€ 70,029, $76,394)","£ 3,120,000 (€ 3,641,516, $3,972,464)",Unverified estimation
206,Tyler Adams,us USA,DM,Bournemouth,25,"£ 60,000 (€ 70,029, $76,394)","£ 3,120,000 (€ 3,641,516, $3,972,464)",Unverified estimation
207,Matheus Cunha,br BRA,CF,Wolves,25,"£ 60,000 (€ 70,029, $76,394)","£ 3,120,000 (€ 3,641,516, $3,972,464)",Unverified estimation
208,Jannik Vestergaard,dk DEN,CB,Leicester City,31,"£ 60,000 (€ 70,029, $76,394)","£ 3,120,000 (€ 3,641,516, $3,972,464)",Unverified estimation
209,Anthony Gordon,eng ENG,LW,Newcastle Utd,23,"£ 60,000 (€ 70,029, $76,394)","£ 3,120,000 (€ 3,641,516, $3,972,464)",Unverified estimation
210,Miguel Almirón,py PAR,RW,Newcastle Utd,30,"£ 60,000 (€ 70,029, $76,394)","£ 3,120,000 (€ 3,641,516, $3,972,464)",Unverified estimation
211,Nick Pope,eng ENG,GK,Newcastle Utd,32,"£ 60,000 (€ 70,029, $76,394)","£ 3,120,000 (€ 3,641,516, $3,972,464)",
212,Robert Sánchez,es ESP,GK,Chelsea,26,"£ 60,000 (€ 70,029, $76,394)","£ 3,120,000 (€ 3,641,516, $3,972,464)",Unverified estimation
213,Danny Welbeck,eng ENG,CF,Brighton,33,"£ 60,000 (€ 70,029, $76,394)","£ 3,120,000 (€ 3,641,516, $3,972,464)",Unverified estimation
214,James Milner,eng ENG,CM,Brighton,38,"£ 60,000 (€ 70,029, $76,394)","£ 3,120,000 (€ 3,641,516, $3,972,464)",Unverified estimation
215,Jakub Kiwior,pl POL,LB,Arsenal,24,"£ 58,000 (€ 67,695, $73,847)","£ 3,016,000 (€ 3,520,132, $3,840,048)",
216,Vitaliy Mykolenko,ua UKR,LB,Everton,25,"£ 58,000 (€ 67,695, $73,847)","£ 3,016,000 (€ 3,520,132, $3,840,048)",
217,Yves Bissouma,ml MLI,DM,Tottenham,27,"£ 55,000 (€ 64,193, $70,027)","£ 2,860,000 (€ 3,338,056, $3,641,425)",Unverified estimation
218,Chris Richards,us USA,CB,Crystal Palace,24,"£ 55,000 (€ 64,193, $70,027)","£ 2,860,000 (€ 3,338,056, $3,641,425)",Unverified estimation
219,Luis Díaz,co COL,LW,Liverpool,27,"£ 55,000 (€ 64,193, $70,027)","£ 2,860,000 (€ 3,338,056, $3,641,425)",
220,Boubacar Traoré,ml MLI,DM,Wolves,22,"£ 55,000 (€ 64,193, $70,027)","£ 2,860,000 (€ 3,338,056, $3,641,425)",
221,Dan Burn,eng ENG,LB,Newcastle Utd,32,"£ 55,000 (€ 64,193, $70,027)","£ 2,860,000 (€ 3,338,056, $3,641,425)",Unverified estimation
222,Emil Krafth,se SWE,RB,Newcastle Utd,29,"£ 55,000 (€ 64,193, $70,027)","£ 2,860,000 (€ 3,338,056, $3,641,425)",
223,Ben Mee,eng ENG,CB,Brentford,34,"£ 55,000 (€ 64,193, $70,027)","£ 2,860,000 (€ 3,338,056, $3,641,425)",Unverified estimation
224,Adam Webster,eng ENG,CB,Brighton,29,"£ 55,000 (€ 64,193, $70,027)","£ 2,860,000 (€ 3,338,056, $3,641,425)",Unverified estimation
225,Mahmoud Dahoud,de GER,CM,Brighton,28,"£ 55,000 (€ 64,193, $70,027)","£ 2,860,000 (€ 3,338,056, $3,641,425)",Unverified estimation
226,Séamus Coleman,ie IRL,RB,Everton,35,"£ 55,000 (€ 64,193, $70,027)","£ 2,860,000 (€ 3,338,056, $3,641,425)",Unverified estimation
227,Sergio Reguilón,es ESP,LB,Tottenham,27,"£ 53,000 (€ 61,859, $67,481)","£ 2,756,000 (€ 3,216,672, $3,509,009)",
228,Alejandro Garnacho,,LW,Manchester Utd,20,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",
229,Micky van de Ven,nl NED,CB,Tottenham,23,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
230,Jean-Philippe Mateta,fr FRA,CF,Crystal Palace,27,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",
231,Marc Guéhi,eng ENG,CB,Crystal Palace,23,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
232,Nathaniel Clyne,eng ENG,RB,Crystal Palace,33,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
233,Will Hughes,eng ENG,CM,Crystal Palace,29,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
234,Antoine Semenyo,gh GHA,RW,Bournemouth,24,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
235,David Brooks,wls WAL,RW,Bournemouth,26,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",
236,Ilya Zabarnyi,,CB,Bournemouth,21,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
237,Marcos Senesi,ar ARG,CB,Bournemouth,27,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
238,Neto,br BRA,GK,Bournemouth,34,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
239,Ryan Christie,sct SCO,CM,Bournemouth,29,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
240,Aaron Cresswell,eng ENG,LB,West Ham,34,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",
Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
241,Konstantinos Mavropanos,gr GRE,CB,West Ham,26,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
242,Nayef Aguerd,ma MAR,CB,West Ham,28,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
243,Wataru Endo,jp JPN,DM,Liverpool,31,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
244,Calum Chambers,eng ENG,CB,Aston Villa,29,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",
245,Robin Olsen,se SWE,GK,Aston Villa,34,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",
246,Matt Doherty,ie IRL,RB,Wolves,32,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
247,Pedro Neto,pt POR,RW,Wolves,24,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",
248,Hamza Choudhury,eng ENG,DM,Leicester City,26,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
249,Wout Faes,be BEL,CB,Leicester City,26,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
250,Sean Longstaff,eng ENG,CM,Newcastle Utd,26,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",
251,Valentino Livramento,eng ENG,RB,Newcastle Utd,21,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
252,Jeremy Doku,be BEL,LW,Manchester City,22,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
253,Oscar Bobb,,RW,Manchester City,20,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",
254,Sergio Gómez,es ESP,LB,Manchester City,23,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
255,Mathias Jensen,dk DEN,CM,Brentford,28,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
256,Conor Gallagher,eng ENG,CM,Chelsea,24,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
257,Noni Madueke,,RW,Chelsea,22,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
258,Trevoh Chalobah,eng ENG,CB,Chelsea,24,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
259,João Pedro,br BRA,CF,Brighton,22,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
260,Joël Veltman,nl NED,RB,Brighton,32,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
261,Pervis Estupiñán,ec ECU,LB,Brighton,26,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
262,Solly March,eng ENG,RW,Brighton,29,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
263,Beto,gw GNB,CF,Everton,26,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
264,Jesper Lindstrøm,dk DEN,,Everton,24,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
265,Neal Maupay,fr FRA,CF,Everton,27,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
266,Joe Worrall,eng ENG,CB,Nott'ham Forest,27,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
267,Neco Williams,wls WAL,RB,Nott'ham Forest,23,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
268,Taiwo Awoniyi,ng NGA,CF,Nott'ham Forest,26,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
269,Andreas Pereira,br BRA,AM,Fulham,28,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
270,Antonee Robinson,us USA,LB,Fulham,26,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
271,Harrison Reed,eng ENG,CM,Fulham,29,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",Unverified estimation
272,Kenny Tete,nl NED,RB,Fulham,28,"£ 50,000 (€ 58,358, $63,661)","£ 2,600,000 (€ 3,034,596, $3,310,386)",
273,Callum Wilson,eng ENG,CF,Newcastle Utd,32,"£ 46,000 (€ 53,689, $58,568)","£ 2,392,000 (€ 2,791,829, $3,045,555)",
274,Fabio Vieira,pt POR,AM,Arsenal,24,"£ 45,000 (€ 52,522, $57,295)","£ 2,340,000 (€ 2,731,137, $2,979,348)",
275,Tom Heaton,eng ENG,GK,Manchester Utd,38,"£ 45,000 (€ 52,522, $57,295)","£ 2,340,000 (€ 2,731,137, $2,979,348)",
276,Jack Stephens,eng ENG,CB,Southampton,30,"£ 45,000 (€ 52,522, $57,295)","£ 2,340,000 (€ 2,731,137, $2,979,348)",
277,Daniel Muñoz,co COL,RB,Crystal Palace,28,"£ 45,000 (€ 52,522, $57,295)","£ 2,340,000 (€ 2,731,137, $2,979,348)",Unverified estimation
278,Rob Holding,eng ENG,CB,Crystal Palace,28,"£ 45,000 (€ 52,522, $57,295)","£ 2,340,000 (€ 2,731,137, $2,979,348)",Unverified estimation
279,Hamed Junior Traorè,ci CIV,AM,Bournemouth,24,"£ 45,000 (€ 52,522, $57,295)","£ 2,340,000 (€ 2,731,137, $2,979,348)",
280,Philip Billing,dk DEN,CM,Bournemouth,28,"£ 45,000 (€ 52,522, $57,295)","£ 2,340,000 (€ 2,731,137, $2,979,348)",
Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
281,Craig Dawson,eng ENG,CB,Wolves,34,"£ 45,000 (€ 52,522, $57,295)","£ 2,340,000 (€ 2,731,137, $2,979,348)",Unverified estimation
282,Mario Lemina,ga GAB,DM,Wolves,30,"£ 45,000 (€ 52,522, $57,295)","£ 2,340,000 (€ 2,731,137, $2,979,348)",Unverified estimation
283,Fabian Schär,ch SUI,CB,Newcastle Utd,32,"£ 45,000 (€ 52,522, $57,295)","£ 2,340,000 (€ 2,731,137, $2,979,348)",Unverified estimation
284,Bryan Mbeumo,cm CMR,RW,Brentford,24,"£ 45,000 (€ 52,522, $57,295)","£ 2,340,000 (€ 2,731,137, $2,979,348)",Unverified estimation
285,Lesley Ugochukwu,fr FRA,DM,Chelsea,20,"£ 45,000 (€ 52,522, $57,295)","£ 2,340,000 (€ 2,731,137, $2,979,348)",Unverified estimation
286,Malo Gusto,fr FRA,RB,Chelsea,21,"£ 45,000 (€ 52,522, $57,295)","£ 2,340,000 (€ 2,731,137, $2,979,348)",Unverified estimation
287,Roméo Lavia,,DM,Chelsea,20,"£ 45,000 (€ 52,522, $57,295)","£ 2,340,000 (€ 2,731,137, $2,979,348)",Unverified estimation
288,Igor,br BRA,CB,Brighton,26,"£ 45,000 (€ 52,522, $57,295)","£ 2,340,000 (€ 2,731,137, $2,979,348)",
289,Moussa Niakhate,sn SEN,CB,Nott'ham Forest,28,"£ 45,000 (€ 52,522, $57,295)","£ 2,340,000 (€ 2,731,137, $2,979,348)",Unverified estimation
290,Hwang Ui-jo,kr KOR,CF,Nott'ham Forest,31,"£ 45,000 (€ 52,522, $57,295)","£ 2,340,000 (€ 2,731,137, $2,979,348)",Unverified estimation
291,Calvin Bassey,ng NGA,CB,Fulham,24,"£ 45,000 (€ 52,522, $57,295)","£ 2,340,000 (€ 2,731,137, $2,979,348)",Unverified estimation
292,Ryan Fraser,sct SCO,LW,Newcastle Utd,30,"£ 42,000 (€ 49,020, $53,475)","£ 2,184,000 (€ 2,549,061, $2,780,724)",
293,Ki-Jana Hoever,nl NED,RB,Wolves,22,"£ 40,385 (€ 47,135, $51,419)","£ 2,100,000 (€ 2,451,020, $2,673,774)",
294,Emile Smith Rowe,eng ENG,AM,Arsenal,23,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",
295,Alex McCarthy,eng ENG,GK,Southampton,34,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",Unverified estimation
296,Carlos Alcaraz,ar ARG,CM,Southampton,21,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",Unverified estimation
297,Duje Ćaleta-Car,hr CRO,CB,Southampton,27,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",Unverified estimation
298,Kamaldeen Sulemana,gh GHA,LW,Southampton,22,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",Unverified estimation
299,Bryan Gil,es ESP,LW,Tottenham,23,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",
300,Emerson,br BRA,RB,Tottenham,25,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",
301,Oliver Skipp,eng ENG,DM,Tottenham,23,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",
302,Matheus França,,AM,Crystal Palace,20,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",Unverified estimation
303,Sam Johnstone,eng ENG,GK,Crystal Palace,31,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",Unverified estimation
304,Tyrick Mitchell,eng ENG,LB,Crystal Palace,24,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",Unverified estimation
305,Alex Scott,eng ENG,CM,Bournemouth,20,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",Unverified estimation
306,Fabio Carvalho,pt POR,AM,Liverpool,21,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",Unverified estimation
307,Harvey Elliott,eng ENG,CM,Liverpool,21,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",Unverified estimation
308,Stefan Bajcetic,,DM,Liverpool,19,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",Unverified estimation
309,José Sá,pt POR,GK,Wolves,31,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",Unverified estimation
310,Danny Ward,wls WAL,GK,Leicester City,31,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",
311,Harry Souttar,au AUS,CB,Leicester City,25,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",Unverified estimation
312,Jamaal Lascelles,eng ENG,CB,Newcastle Utd,30,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",
313,Martin Dúbravka,sk SVK,GK,Newcastle Utd,35,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",
314,Frank Onyeka,ng NGA,CM,Brentford,26,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",Unverified estimation
315,Kristoffer Ajer,no NOR,CB,Brentford,26,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",Unverified estimation
316,Armando Broja,al ALB,CF,Chelsea,22,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",Unverified estimation
317,Deivid Washington,,CF,Chelsea,19,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",Unverified estimation
318,Ashley Young,eng ENG,LB,Everton,38,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",Unverified estimation
319,Emmanuel Dennis,ng NGA,CF,Nott'ham Forest,26,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",Unverified estimation
320,Matt Turner,us USA,GK,Nott'ham Forest,30,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",Unverified estimation
Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
321,Ola Aina,ng NGA,RB,Nott'ham Forest,27,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",Unverified estimation
322,Willy Boly,ci CIV,CB,Nott'ham Forest,33,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",Unverified estimation
323,Carlos Vinícius,br BRA,CF,Fulham,29,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",Unverified estimation
324,Kevin Mbabu,ch SUI,RB,Fulham,29,"£ 40,000 (€ 46,686, $50,929)","£ 2,080,000 (€ 2,427,677, $2,648,309)",
325,Jamal Lewis,nir NIR,LB,Newcastle Utd,26,"£ 38,000 (€ 44,352, $48,383)","£ 1,976,000 (€ 2,306,293, $2,515,894)",
326,Altay Bayındır,tr TUR,GK,Manchester Utd,26,"£ 35,000 (€ 40,850, $44,563)","£ 1,820,000 (€ 2,124,218, $2,317,270)",Unverified estimation
327,Adam Wharton,,DM,Crystal Palace,20,"£ 35,000 (€ 40,850, $44,563)","£ 1,820,000 (€ 2,124,218, $2,317,270)",Unverified estimation
328,Joel Ward,eng ENG,RB,Crystal Palace,34,"£ 35,000 (€ 40,850, $44,563)","£ 1,820,000 (€ 2,124,218, $2,317,270)",
329,Adam Smith,eng ENG,RB,Bournemouth,33,"£ 35,000 (€ 40,850, $44,563)","£ 1,820,000 (€ 2,124,218, $2,317,270)",
330,Chris Mepham,wls WAL,CB,Bournemouth,26,"£ 35,000 (€ 40,850, $44,563)","£ 1,820,000 (€ 2,124,218, $2,317,270)",Unverified estimation
331,Dango Ouattara,bf BFA,LW,Bournemouth,22,"£ 35,000 (€ 40,850, $44,563)","£ 1,820,000 (€ 2,124,218, $2,317,270)",Unverified estimation
332,Marcus Tavernier,eng ENG,LM,Bournemouth,25,"£ 35,000 (€ 40,850, $44,563)","£ 1,820,000 (€ 2,124,218, $2,317,270)",Unverified estimation
333,Max Aarons,eng ENG,RB,Bournemouth,24,"£ 35,000 (€ 40,850, $44,563)","£ 1,820,000 (€ 2,124,218, $2,317,270)",Unverified estimation
334,Romain Faivre,fr FRA,RM,Bournemouth,25,"£ 35,000 (€ 40,850, $44,563)","£ 1,820,000 (€ 2,124,218, $2,317,270)",Unverified estimation
335,Vladimír Coufal,cz CZE,RB,West Ham,31,"£ 35,000 (€ 40,850, $44,563)","£ 1,820,000 (€ 2,124,218, $2,317,270)",
336,Álex Moreno,es ESP,LB,Aston Villa,31,"£ 35,000 (€ 40,850, $44,563)","£ 1,820,000 (€ 2,124,218, $2,317,270)",
