Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,01-Mar,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,PrgR,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Season
vs Leicester City,2,26.6,52.4,38,38,3420,38,63,46,109,59,4,6,64,2,63.3,59.8,47.9,107.7,721,1575,1.66,1.21,2.87,1.55,2.76,1.66,1.26,2.93,1.57,2.83,112,173,30.5,14.92,4.55,0.1,0.34,17.2,2,0.11,-0.3,-0.8,200,484,41.3,74237,38203,7582,228,89,6972,8068,86.4,1633,2896,56.4,35.5,-1.9,418,547,334,81,24721,1770,75,157,712,756,4,129,58,5,78,475,986,25.95,712,84,52,395,17,106,2.79,81,4,6,5,7,3,558,336,7422,11143,6380,245,45.5,512,363,339,897,600,16,24726,2155,917,369,47.4,308,39.5,13967,177,517,391,16476,1560,90,100,82,271,146,22,196,1.92,68,51,17,0.45,63.3,50.5,12.8,0.34,2,410,3,6,2,2119,558,52.1,51,1.34,148,96,67.6,22,7,9,12,31.6,3,3,0,50,44.9,0.27,-4.1,-0.11,1047,187,34.1,32.6,55.7,43.9,380,31,8.2,59,1.55,16.4,2022/2023
vs Liverpool,2,26.6,38.9,38,38,3418,38,45,32,77,43,2,4,59,1,50.8,47.9,37.8,85.7,506,1101,1.18,0.84,2.03,1.13,1.97,1.34,0.99,2.33,1.26,2.26,164,154,42.1,9.63,4.05,0.12,0.28,15.9,1,0.13,-5.8,-4.9,213,710,30,53488,26449,5604,325,85.5,4725,5743,82.3,1275,2707,47.1,27.6,-5.8,283,332,232,58,20602,1715,76,122,515,677,11,75,34,1,88,501,655,17.24,481,58,45,383,9,78,2.05,52,3,10,5,4,4,693,391,8404,8219,4188,281,46.5,482,337,410,1103,995,23,20606,3079,677,370,49.1,281,37.3,10558,166,586,309,11858,1090,90,100,82,275,144,18,197,0.97,47,75,-28,-0.74,50.8,71.5,-20.7,-0.55,0,343,4,4,4,2083,455,48.6,75,1.97,205,134,64.4,9,10,19,8,21.1,2,0,2,0,66.7,0.32,-4.3,-0.11,998,199,49.4,38.9,66.8,48.4,651,40,6.1,48,1.26,14.7,2022/2023
vs Manchester City,2,26.6,34.7,38,38,3420,38,32,21,53,29,3,10,80,2,32.1,29.8,23.8,53.5,434,860,0.84,0.55,1.39,0.76,1.32,0.85,0.63,1.47,0.78,1.41,163,89,30.6,7.66,2.34,0.1,0.33,17.2,2,0.11,-0.1,-0.8,223,652,34.2,49417,23538,5050,323,88,4772,5482,87,1161,2406,48.3,19.9,-2.8,214,310,196,53,18164,1423,30,104,395,489,10,50,25,5,72,457,494,13,348,42,23,332,17,51,1.34,36,3,2,3,5,2,537,298,8426,6598,3319,239,41.6,438,294,327,864,818,17,18167,3258,561,250,47.1,212,39.9,9794,125,442,259,11200,853,90,100,84,252,165,21,175,0.53,33,94,-61,-1.61,32.1,78.6,-46.5,-1.22,1,402,3,10,2,1647,364,45.4,94,2.47,214,122,60.3,5,5,28,3,7.9,9,0,1,0,74.8,0.31,-17.2,-0.45,1183,174,41,35.8,51.7,40.8,552,32,5.8,23,0.61,13,2022/2023
vs Manchester Utd,1,26.4,46,38,38,3420,38,42,28,70,40,2,3,50,0,50.4,48,37.4,85.4,697,1355,1.11,0.74,1.84,1.05,1.79,1.33,0.98,2.31,1.26,2.25,165,139,29.1,12.58,3.66,0.08,0.29,16.6,0,0.1,-8.4,-8,215,556,38.7,65364,34500,6443,291,87,5597,6630,84.4,1365,2622,52.1,34.9,-9.4,357,492,301,78,21990,1721,45,105,670,651,3,105,59,4,43,554,824,21.68,568,85,42,413,16,68,1.79,50,4,0,6,7,1,631,361,7668,9000,5563,338,51.6,465,389,415,1046,616,14,21993,2733,975,300,41.7,300,41.7,11694,206,572,357,13634,1343,90,100,83,265,153,19,189,0.87,43,58,-15,-0.39,50.4,67.7,-17.3,-0.45,0,310,2,3,2,2119,434,48.3,58,1.53,209,153,73.7,9,6,23,7,18.4,3,0,0,0,63.8,0.3,7.8,0.21,1198,189,35.6,32.3,44.7,36.9,406,19,4.7,64,1.68,18.2,2022/2023
vs Newcastle Utd,2,26.8,47.6,38,38,3420,38,31,23,54,29,2,6,80,2,39.5,35.6,29.6,65.2,600,1201,0.82,0.61,1.42,0.76,1.37,1.04,0.78,1.82,0.94,1.72,167,123,32.2,10.05,3.24,0.08,0.24,17.6,1,0.09,-8.5,-6.6,222,736,30.2,57872,29370,5805,316,87.6,5082,6095,83.4,1271,2745,46.3,28.1,-6.6,301,367,230,56,20766,1761,49,116,564,717,6,76,52,2,56,488,678,17.84,492,51,46,391,15,53,1.39,38,4,4,6,1,0,685,421,7684,8651,4660,322,47.9,552,321,341,1026,854,12,20772,2819,722,335,45.7,307,41.9,10893,167,525,300,12338,1188,90,100,84,270,146,23,196,0.76,33,68,-35,-0.92,39.5,71.9,-32.3,-0.85,0,419,4,6,4,1956,426,43.6,68,1.79,190,126,67.4,5,14,19,11,28.9,6,0,0,0,66.5,0.32,2.5,0.07,1064,195,48.9,38.7,68.4,48.3,580,55,9.5,51,1.34,14.2,2022/2023
vs Nott'ham Forest,3,26.8,62.8,38,38,3420,38,68,45,113,62,6,6,65,0,64.2,57.5,45,102.5,813,1904,1.79,1.18,2.97,1.63,2.82,1.69,1.18,2.87,1.51,2.7,88,174,31.8,14.42,4.58,0.11,0.36,16.3,0,0.11,3.8,4.5,97,280,34.6,86570,47256,8568,231,89.6,7833,8956,87.5,1577,2845,55.4,42.5,0,438,586,392,80,26480,1839,79,123,817,816,4,99,93,6,58,355,1000,26.32,703,97,58,425,9,120,3.16,85,8,6,11,8,2,509,301,7131,12308,7231,234,47.4,560,267,286,795,646,16,26489,2033,1106,293,41.7,296,42.2,15880,216,557,363,18268,1880,90,100,82,276,142,18,199,1.71,68,38,30,0.79,64.2,39.3,24.9,0.66,0,414,5,6,2,2022,600,51.7,38,1,117,78,70.1,18,11,9,12,31.6,3,3,0,50,32.9,0.23,-3.1,-0.08,905,192,23.4,28.4,29.4,30,416,27,6.5,49,1.29,15.4,2022/2023
vs Southampton,2,26.7,55.6,38,38,3420,38,68,55,123,66,2,4,63,2,60.9,58.5,46.2,104.7,653,1735,1.79,1.45,3.24,1.74,3.18,1.6,1.22,2.82,1.54,2.76,114,147,28.1,13.76,3.87,0.13,0.45,16.5,3,0.12,7.1,7.5,161,428,37.6,70904,35406,7450,241,87.3,6901,8048,85.7,1618,2893,55.9,39.7,8.8,388,447,389,88,24919,1796,78,164,686,802,5,82,71,4,53,445,920,24.21,702,65,46,413,14,121,3.18,94,7,6,7,6,1,719,419,7919,11071,6171,318,46.8,551,331,318,1037,718,9,24922,2333,1055,315,45.6,297,43,14205,221,590,418,16240,1717,90,100,81,265,154,19,187,2.16,73,36,37,0.97,60.9,37.8,23.1,0.61,1,399,3,4,0,2170,611,52.6,36,0.95,136,98,75,25,7,6,15,39.5,2,2,0,50,36.1,0.25,0.1,0,1037,186,30.3,31.3,47.3,40,475,32,6.7,50,1.32,15.9,2022/2023
vs Tottenham,2,26.7,50.1,38,38,3420,38,62,45,107,59,3,6,79,2,49.6,46.5,36.3,82.8,685,1516,1.63,1.18,2.82,1.55,2.74,1.31,0.95,2.26,1.22,2.18,150,168,32.6,13.58,4.42,0.11,0.35,18.1,1,0.09,12.4,12.5,184,611,30.1,69543,33630,7658,248,89.5,6515,7425,87.7,1511,2800,54,34.3,8.7,400,524,300,77,24007,1667,58,123,665,648,13,87,56,14,47,502,905,23.82,681,71,49,412,16,111,2.92,82,4,9,10,4,2,644,393,6699,10897,6627,288,48.5,549,352,322,966,717,12,24011,2364,935,299,45.4,275,41.7,13878,212,541,344,15945,1497,90,100,85,268,149,18,193,1.26,63,70,-7,-0.18,49.6,57,-7.4,-0.2,1,381,3,6,2,2050,474,46.3,70,1.84,192,123,66.1,14,6,18,4,10.5,5,1,0,16.7,56.6,0.27,-11.4,-0.3,997,169,45.6,37.3,62.9,45.3,530,30,5.7,60,1.58,15.7,2022/2023
vs West Ham,2,26.6,58.2,38,38,3420,38,54,42,96,50,4,8,54,0,53,48.4,39.8,88.2,805,1721,1.42,1.11,2.53,1.32,2.42,1.4,1.05,2.44,1.27,2.32,142,165,33.5,12.97,4.34,0.1,0.3,17.6,0,0.1,1,1.6,140,432,32.4,85076,44730,9153,268,90.7,7696,8790,87.6,1503,2780,54.1,34.7,2.2,369,613,336,67,27040,1640,75,126,730,691,10,84,79,2,45,453,890,23.42,674,70,47,341,16,100,2.63,72,8,5,5,6,4,623,373,8407,12188,6690,266,51.6,620,311,292,915,816,13,27046,2677,975,293,44.7,270,41.2,16219,222,567,338,18737,1709,90,100,84,270,148,20,193,1.76,55,42,13,0.34,53,49.2,3.9,0.1,0,328,5,8,1,2070,587,48.6,42,1.11,141,98,74.5,20,7,11,13,34.2,6,2,0,25,40.1,0.24,-0.9,-0.02,1077,176,29.6,31.1,42.2,36.4,595,35,5.9,54,1.42,14.7,2022/2023
vs Wolves,2,26.4,49.8,38,38,3420,38,57,44,101,55,2,3,75,0,59.9,56.7,44.2,100.9,703,1596,1.5,1.16,2.66,1.45,2.61,1.58,1.16,2.74,1.49,2.66,114,170,30.9,14.5,4.47,0.1,0.32,17.2,0,0.11,-2.9,-1.7,158,450,35.1,69270,35860,6776,245,88.2,6056,7032,86.1,1388,2572,54,39.7,-0.2,399,496,346,82,22408,1765,61,140,735,755,4,104,64,4,37,424,959,25.24,688,78,50,446,22,98,2.58,71,4,6,6,5,6,628,360,6908,9718,6004,302,44,465,310,317,945,712,13,22412,2222,1041,331,46.4,285,40,12749,218,570,375,14439,1575,90,100,80,260,159,18,183,1.71,58,31,27,0.71,59.9,36.8,23,0.61,0,413,4,3,3,2000,542,53.8,31,0.82,122,94,77,19,8,11,15,39.5,3,0,0,0,28.6,0.21,0.6,0.02,964,166,35.1,33.2,45.7,37.3,509,30,5.9,72,1.89,18.6,2022/2023
