Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,01-Mar,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,PrgR,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Season
vs Arsenal,1,26.7,40.1,38,38,3420,38,42,27,69,39,3,4,84,1,42,38,31.6,69.6,510,907,1.11,0.71,1.82,1.03,1.74,1.1,0.83,1.93,1,1.83,186,133,39.5,8.87,3.5,0.12,0.29,16.1,0,0.11,0,1,215,604,35.6,53994,26091,5278,339,86.8,4656,5577,83.5,1174,2519,46.6,26,-4.6,259,354,201,45,19197,1672,51,99,510,662,13,79,47,4,83,516,569,14.97,398,64,31,354,11,66,1.74,49,5,2,4,5,1,668,387,7798,7683,3935,290,45.2,486,330,360,1028,841,21,19203,2933,673,260,44.3,249,42.4,10264,147,476,319,11310,901,90,100,85,275,142,19,199,0.63,43,88,-45,-1.18,42,71.7,-29.7,-0.78,0,456,4,4,4,1821,559,53.5,88,2.32,197,113,56.9,6,6,26,4,10.5,3,0,1,0,66.8,0.33,-17.2,-0.45,960,134,41.4,35.6,61.1,44.8,510,38,7.5,37,0.97,12.9,2022/2023
vs Aston Villa,2,26.5,50.6,38,38,3420,38,42,25,67,37,5,4,85,3,52.5,47.9,36.1,84,608,1323,1.11,0.66,1.76,0.97,1.63,1.38,0.95,2.33,1.26,2.21,127,145,34.2,11.16,3.82,0.09,0.26,16.5,2,0.12,-10.5,-10.9,134,355,37.7,62408,31998,6523,243,87.9,5885,6859,85.8,1554,2778,55.9,28.7,-11.1,321,425,282,65,22013,1754,95,180,689,765,6,96,77,7,116,413,757,19.92,530,82,46,403,8,74,1.95,48,7,5,7,5,2,650,370,7107,9894,5219,279,48.8,442,286,332,982,635,10,22019,2102,870,336,45.9,312,42.6,12334,185,486,320,14144,1306,90,100,83,255,161,20,181,1.21,46,51,-5,-0.13,52.5,50.3,2.2,0.06,3,508,3,4,2,1962,465,51.3,51,1.34,148,99,67.6,13,7,18,8,21.1,3,0,1,0,44.1,0.28,-4.9,-0.13,811,173,30.2,32.3,45.3,37.7,439,27,6.2,41,1.08,15.1,2022/2023
vs Bournemouth,2,26.6,59.9,38,38,3420,38,68,49,117,62,6,0,51,0,63.8,58.3,45.3,103.6,810,1988,1.79,1.29,3.08,1.63,2.92,1.68,1.19,2.87,1.54,2.73,96,198,32,16.29,5.21,0.1,0.31,17,0,0.1,4.2,3.7,109,316,34.5,82880,42849,8431,219,89.2,8068,9207,87.6,1777,2972,59.8,44.6,3.7,455,576,430,95,26813,1700,54,126,930,732,7,139,73,3,65,404,1090,28.68,820,101,40,372,17,114,3,73,15,4,17,5,0,711,426,7398,11843,7803,344,51.1,521,308,279,990,563,13,26820,2088,1107,358,50.8,256,36.3,16187,211,550,362,18578,1976,90,100,84,264,156,21,184,1.82,71,37,34,0.89,63.8,38.5,25.3,0.67,0,375,3,0,0,2160,539,50.8,37,0.97,126,89,70.6,21,6,11,18,47.4,0,0,0,,34.7,0.28,-2.3,-0.06,928,173,26.2,30.7,33.3,32.6,401,25,6.2,48,1.26,17,2022/2023
vs Brentford,1,26.6,56.6,38,38,3420,38,43,30,73,41,2,8,61,1,48.8,47.6,35.7,83.3,741,1540,1.13,0.79,1.92,1.08,1.87,1.28,0.94,2.22,1.25,2.19,86,195,35,14.66,5.13,0.07,0.21,18.4,2,0.09,-5.8,-6.6,157,546,28.8,72295,37380,7989,285,89.1,6154,7254,84.8,1318,2713,48.6,37.2,-5.7,417,655,363,84,24213,1713,63,112,781,715,8,103,73,5,61,354,999,26.29,764,68,54,338,11,76,2,51,7,6,9,2,1,584,330,6891,10624,6902,248,48.2,664,268,290,874,822,11,24215,2369,895,346,50.2,253,36.7,13625,155,547,335,15840,1530,90,100,82,284,134,21,208,1.08,46,58,-12,-0.32,48.8,56.3,-7.5,-0.2,0,415,1,8,2,1975,617,48.2,58,1.53,155,98,67.1,9,14,15,9,23.7,7,1,0,12.5,54.6,0.31,-1.4,-0.04,887,183,41.4,36.3,62.8,44.7,531,34,6.4,53,1.39,15.7,2022/2023
vs Brighton,2,26.5,39.5,38,38,3420,38,47,34,81,41,6,6,92,1,50.2,43.7,33.7,77.4,527,1026,1.24,0.89,2.13,1.08,1.97,1.32,0.89,2.21,1.15,2.04,160,123,32.4,10,3.24,0.11,0.33,16.2,1,0.12,-3.2,-2.7,202,663,30.5,53241,26098,5500,329,87.9,4775,5646,84.6,1061,2361,44.9,27.1,0.3,293,367,236,50,19331,1653,44,69,444,607,3,59,52,2,43,505,673,17.71,483,54,42,409,13,82,2.16,54,4,9,7,7,1,603,350,7920,7496,4111,279,44.7,444,345,417,1020,777,25,19339,2866,711,295,45.7,266,41.2,10294,173,513,350,11532,1012,90,100,83,268,150,20,191,1.16,53,72,-19,-0.5,50.2,73.3,-23.1,-0.61,0,426,6,6,4,1875,387,46.6,72,1.89,225,157,70.7,12,8,18,5,13.2,6,0,0,0,66.8,0.28,-1.2,-0.03,1139,170,42.5,35.8,54.4,40.6,554,38,6.9,63,1.66,14.2,2022/2023
vs Chelsea,2,26.6,41,38,38,3420,38,44,32,76,43,1,3,69,1,52.5,51.7,39.9,91.6,593,1203,1.16,0.84,2,1.13,1.97,1.38,1.05,2.43,1.36,2.41,145,158,36.2,11.5,4.16,0.1,0.27,16.7,1,0.12,-8.5,-8.7,169,488,34.6,58693,30130,5875,290,87.1,5133,6094,84.2,1242,2398,51.8,30.1,-7.9,321,416,240,59,20667,1748,41,83,591,744,5,105,35,1,50,474,751,19.76,543,59,47,378,16,70,1.84,45,4,5,10,4,2,733,429,7410,8359,5105,352,48.1,493,329,374,1107,792,10,20668,2640,760,323,43.3,333,44.6,11149,167,545,407,12479,1188,90,100,81,269,148,19,190,1.55,47,38,9,0.24,52.5,49.5,3,0.08,1,468,1,3,1,1956,453,47.9,38,1,154,116,77.3,16,11,11,14,36.8,3,0,0,0,43.7,0.27,6.7,0.18,989,180,36,34,45.5,38.6,549,32,5.8,36,0.95,14.8,2022/2023
vs Crystal Palace,3,26.6,53.9,38,38,3420,38,46,32,78,42,4,3,83,3,48.1,44.9,34.5,79.4,590,1592,1.21,0.84,2.05,1.11,1.95,1.26,0.91,2.17,1.18,2.09,136,156,34.5,11.89,4.11,0.09,0.27,16.2,1,0.1,-2.1,-2.9,139,373,37.3,74733,38926,7628,250,88.1,6712,7780,86.3,1522,2746,55.4,33.7,-2.5,339,485,353,84,24635,1750,50,140,682,763,5,80,60,8,70,449,796,20.95,578,85,35,429,9,81,2.13,59,5,6,7,4,0,771,436,7900,10905,6036,314,46.1,496,313,366,1137,659,13,24639,2382,947,251,40.4,281,45.2,14512,139,584,409,16193,1581,90,100,84,267,149,18,192,1.5,49,40,9,0.24,48.1,39.3,8.8,0.23,1,487,3,3,2,2130,578,53.8,40,1.05,135,96,71.1,15,12,11,16,42.1,1,1,1,50,41.2,0.29,3.2,0.08,1030,172,28.3,30.1,32.8,31.9,459,27,5.9,50,1.32,15.7,2022/2023
vs Everton,2,26.5,57.4,38,38,3420,38,57,36,93,52,5,3,76,1,65.5,60.9,45.5,106.4,752,1678,1.5,0.95,2.45,1.37,2.32,1.72,1.2,2.92,1.6,2.8,122,179,31.4,15,4.71,0.09,0.29,16.4,0,0.11,-8.5,-8.9,122,377,32.4,76116,40740,7993,270,88.6,7025,8188,85.8,1559,2848,54.7,36.3,-9.5,437,497,358,101,25320,1864,51,153,758,846,5,90,66,2,54,384,1017,26.76,736,97,52,382,16,99,2.61,67,2,8,12,9,1,596,365,8031,11022,6477,296,48.8,582,262,275,871,727,14,25326,2438,1025,310,44.2,309,44,14668,212,582,399,16932,1670,90,100,84,268,152,18,190,1.74,57,34,23,0.61,65.5,45.2,20.4,0.54,0,400,5,3,2,2092,613,51.3,34,0.89,146,114,78.8,18,12,8,14,36.8,3,0,0,0,38.6,0.25,6.6,0.17,1012,240,25.9,29.9,42.6,36.6,551,39,7.1,53,1.39,14.1,2022/2023
vs Fulham,2,26.7,51.3,38,38,3420,38,51,30,81,44,7,9,57,5,63.6,57.8,43,100.8,559,1406,1.34,0.79,2.13,1.16,1.95,1.67,1.13,2.81,1.52,2.65,116,188,37.8,13.08,4.95,0.09,0.23,16.7,1,0.12,-12.6,-13.8,139,430,32.3,65884,33016,6992,248,87.1,6190,7186,86.1,1459,2750,53.1,34.5,-13,361,353,331,83,23228,1703,76,137,608,720,10,94,66,1,88,447,878,23.11,639,65,53,392,8,87,2.29,55,3,7,14,8,0,617,363,7912,10258,5262,238,45.9,511,331,340,957,754,9,23236,2494,887,289,42.3,299,43.7,13030,166,541,326,14833,1390,90,100,84,269,144,20,196,1.45,53,55,-2,-0.05,63.6,46.2,17.4,0.46,1,419,8,9,3,2070,550,51.8,55,1.45,145,90,65.5,16,7,15,9,23.7,5,3,1,37.5,52.1,0.31,0.1,0,1031,174,31.1,31.2,44,37.5,604,39,6.5,29,0.76,13.3,2022/2023
vs Leeds United,2,26.7,53.1,38,38,3420,38,77,50,127,72,5,3,66,3,67.1,62.4,49.8,112.2,596,1469,2.03,1.32,3.34,1.89,3.21,1.77,1.31,3.08,1.64,2.95,140,180,34.5,13.74,4.74,0.14,0.4,16.5,0,0.12,9.9,9.6,153,492,31.1,67350,33950,6666,285,86.1,6577,7786,84.5,1516,2885,52.5,35.8,0.2,381,423,287,58,24298,1911,69,131,612,866,9,87,61,6,86,509,921,24.24,640,88,72,453,12,140,3.68,98,4,21,8,7,2,749,427,8102,10849,5573,328,55,586,369,391,1140,740,13,24304,2447,872,451,46.4,412,42.3,13328,189,630,428,14978,1455,90,100,82,274,143,18,198,1.92,78,48,30,0.79,67.1,47.3,19.8,0.52,1,422,5,3,3,2255,607,50.9,48,1.26,143,97,67.1,21,10,7,10,26.3,1,1,1,50,41.1,0.28,-3.9,-0.1,987,204,36.8,33.9,45.3,37.8,520,35,6.7,43,1.13,14.1,2022/2023
