iter	Passed	Remaining
253	6666	19579
254	6692	19553
255	6717	19522
256	6743	19495
257	6768	19464
258	6791	19431
259	6816	19399
260	6841	19370
261	6865	19339
262	6896	19326
263	6921	19296
264	6946	19265
265	6969	19232
266	6997	19210
267	7022	19180
268	7047	19152
269	7077	19134
270	7102	19105
271	7127	19076
272	7152	19047
273	7176	19016
274	7203	18990
275	7227	18959
276	7250	18925
277	7274	18894
278	7300	18866
279	7325	18837
280	7350	18807
281	7375	18779
282	7399	18747
283	7426	18722
284	7450	18691
285	7475	18662
286	7501	18635
287	7525	18605
288	7551	18578
289	7576	18550
290	7602	18522
291	7625	18490
292	7649	18457
293	7675	18431
294	7699	18400
295	7724	18372
296	7751	18348
297	7777	18321
298	7802	18293
299	7828	18267
300	7852	18236
301	7879	18212
302	7904	18182
303	7929	18153
304	7954	18126
305	7980	18099
306	8005	18069
307	8030	18042
308	8056	18015
309	8080	17986
310	8106	17959
311	8131	17930
312	8155	17900
313	8180	17871
314	8208	17849
315	8235	17826
316	8260	17797
317	8287	17774
318	8316	17753
319	8343	17730
320	8371	17708
321	8398	17684
322	8424	17656
323	8449	17629
324	8473	17599
325	8501	17575
326	8526	17547
327	8549	17517
328	8574	17487
329	8600	17462
330	8626	17435
331	8651	17406
332	8680	17386
333	8704	17356
334	8729	17328
335	8755	17301
336	8780	17273
337	8805	17245
338	8829	17216
339	8854	17188
340	8880	17162
341	8905	17134
342	8929	17103
343	8955	17078
344	8981	17051
345	9006	17023
346	9031	16996
347	9057	16969
348	9081	16939
349	9105	16909
350	9130	16881
351	9156	16855
352	9182	16830
353	9207	16802
354	9231	16772
355	9257	16745
356	9282	16719
357	9308	16692
358	9333	16664
359	9359	16639
360	9384	16610
361	9409	16583
362	9435	16557
363	9460	16530
364	9485	16501
365	9512	16477
366	9535	16446
367	9562	16422
368	9587	16394
369	9611	16365
370	9636	16337
371	9661	16310
372	9686	16283
373	9711	16255
374	9738	16230
375	9762	16201
376	9787	16174
377	9813	16148
378	9837	16118
379	9863	16092
380	9887	16063
381	9913	16038
382	9940	16014
383	9965	15986
384	9990	15958
385	10016	15932
386	10041	15905
387	10065	15876
388	10090	15848
389	10115	15821
390	10140	15794
391	10165	15766
392	10190	15740
393	10215	15712
394	10240	15684
395	10265	15657
396	10289	15628
397	10317	15605
398	10350	15590
399	10380	15570
400	10405	15542
401	10430	15516
402	10454	15486
403	10481	15462
404	10507	15436
405	10534	15412
406	10560	15386
407	10587	15362
408	10613	15336
409	10641	15314
410	10669	15289
411	10695	15264
412	10721	15237
413	10748	15214
414	10774	15188
415	10800	15162
416	10824	15133
417	10849	15105
418	10874	15079
419	10899	15052
420	10924	15023
421	10966	15019
422	11005	15012
423	11035	14991
424	11060	14964
425	11087	14939
426	11112	14911
427	11137	14884
428	11164	14859
429	11187	14830
430	11213	14803
431	11238	14776
432	11263	14748
433	11290	14724
434	11315	14696
435	11339	14669
436	11365	14642
437	11390	14614
438	11414	14587
439	11440	14560
440	11466	14534
441	11490	14506
442	11535	14503
443	11566	14483
444	11590	14456
445	11616	14429
446	11643	14404
447	11667	14376
448	11694	14351
449	11719	14324
450	11744	14296
451	11770	14270
452	11795	14243
453	11819	14214
454	11845	14188
455	11870	14160
456	11894	14132
457	11920	14106
458	11948	14083
459	11975	14058
460	12000	14031
461	12027	14005
462	12050	13976
463	12075	13949
464	12102	13924
465	12126	13896
466	12151	13868
467	12178	13843
468	12203	13816
469	12227	13788
470	12253	13762
471	12278	13734
472	12304	13708
473	12328	13680
474	12353	13653
475	12379	13628
476	12405	13601
477	12430	13574
478	12456	13548
479	12481	13521
480	12505	13493
481	12530	13466
482	12556	13440
483	12581	13413
484	12607	13387
485	12634	13361
486	12658	13334
487	12686	13310
488	12711	13283
489	12735	13255
490	12759	13227
491	12785	13200
492	12809	13173
493	12835	13147
494	12860	13120
495	12884	13092
496	12911	13067
497	12936	13040
498	12960	13012
499	12985	12985
500	13011	12959
501	13036	12932
502	13060	12904
503	13086	12878
504	13111	12851
505	13137	12825
506	13162	12799
507	13187	12772
508	13212	12745
509	13238	12718
510	13262	12691
511	13287	12665
512	13315	12640
513	13341	12614
514	13366	12588
515	13395	12564
516	13422	12540
517	13449	12515
518	13479	12493
519	13507	12468
520	13535	12444
521	13560	12417
522	13587	12392
523	13612	12365
524	13638	12339
525	13662	12311
526	13687	12285
527	13714	12259
528	13740	12233
529	13765	12207
530	13790	12180
531	13815	12153
532	13840	12126
533	13867	12101
534	13891	12074
535	13916	12047
536	13943	12022
537	13971	11998
538	13999	11973
539	14024	11946
540	14048	11919
541	14074	11893
542	14099	11866
543	14124	11839
544	14149	11812
545	14175	11786
546	14198	11758
547	14225	11733
548	14250	11706
549	14275	11679
550	14301	11653
551	14326	11627
552	14351	11600
553	14376	11573
554	14402	11547
555	14426	11520
556	14452	11494
557	14477	11467
558	14503	11441
559	14528	11415
560	14554	11389
561	14580	11363
562	14610	11340
563	14635	11314
564	14659	11286
565	14684	11259
566	14710	11234
567	14734	11206
568	14761	11181
569	14785	11153
570	14812	11128
571	14840	11104
572	14866	11078
573	14893	11053
574	14919	11027
575	14945	11001
576	14973	10977
577	14999	10951
578	15025	10924
579	15050	10898
580	15074	10871
581	15100	10845
582	15125	10818
583	15151	10792
584	15176	10766
585	15201	10739
586	15226	10713
587	15251	10686
588	15276	10660
589	15302	10634
590	15327	10607
591	15351	10579
592	15375	10552
593	15401	10526
594	15426	10500
595	15450	10473
596	15477	10447
597	15502	10421
598	15528	10395
599	15553	10369
600	15577	10342
601	15606	10317
602	15630	10290
603	15654	10263
604	15678	10236
605	15703	10210
606	15728	10183
607	15754	10157
608	15779	10131
609	15804	10104
610	15829	10078
611	15855	10051
612	15879	10024
613	15903	9997
614	15929	9972
615	15953	9945
616	15979	9918
617	16005	9893
618	16030	9867
619	16055	9840
620	16080	9814
621	16105	9787
622	16131	9761
623	16156	9735
624	16181	9708
625	16205	9682
626	16232	9656
627	16257	9630
628	16281	9603
629	16308	9578
630	16333	9551
631	16360	9526
632	16386	9500
633	16410	9473
634	16435	9447
635	16460	9420
636	16484	9393
637	16512	9369
638	16538	9343
639	16563	9316
640	16587	9289
641	16613	9263
642	16637	9237
643	16664	9212
644	16689	9185
645	16714	9159
646	16738	9132
647	16765	9107
648	16789	9080
649	16814	9053
650	16839	9027
651	16863	9000
652	16889	8975
653	16914	8948
654	16940	8922
655	16969	8898
656	16995	8872
657	17019	8846
658	17045	8820
659	17069	8793
660	17094	8766
661	17119	8740
662	17163	8723
663	17193	8700
664	17218	8674
665	17245	8648
666	17270	8622
667	17295	8595
668	17320	8569
669	17345	8543
670	17369	8516
671	17396	8490
672	17420	8464
673	17444	8437
674	17471	8412
675	17496	8385
676	17522	8359
677	17547	8333
678	17572	8307
679	17599	8282
680	17623	8255
681	17648	8229
682	17673	8202
683	17699	8176
684	17723	8150
685	17749	8124
686	17774	8097
687	17797	8071
688	17820	8043
689	17847	8018
690	17872	7992
691	17895	7965
692	17921	7939
693	17945	7912
694	17970	7886
695	17997	7860
696	18022	7834
697	18047	7808
698	18072	7782
699	18097	7756
700	18122	7729
701	18147	7703
702	18172	7677
703	18196	7650
704	18222	7625
705	18247	7598
706	18271	7572
707	18297	7546
708	18322	7520
709	18348	7494
710	18373	7468
711	18399	7442
712	18423	7416
713	18449	7390
714	18474	7364
715	18499	7337
716	18525	7311
717	18551	7286
718	18578	7260
719	18605	7235
720	18631	7209
721	18659	7184
722	18687	7159
723	18714	7134
724	18740	7108
725	18765	7082
726	18790	7056
727	18816	7030
728	18841	7004
729	18865	6977
730	18890	6951
731	18916	6925
732	18942	6900
733	18967	6873
734	18993	6847
735	19018	6821
736	19043	6795
737	19069	6769
738	19094	6743
739	19118	6717
740	19144	6691
741	19168	6665
742	19193	6639
743	19219	6613
744	19242	6586
745	19267	6560
746	19292	6534
747	19317	6507
748	19342	6481
749	19369	6456
750	19394	6430
751	19419	6404
752	19445	6378
753	19469	6352
754	19494	6325
755	19520	6300
756	19545	6274
757	19571	6248
758	19596	6222
759	19621	6196
760	19647	6170
761	19674	6145
762	19699	6118
763	19726	6093
764	19751	6067
765	19776	6041
766	19801	6015
767	19827	5989
768	19851	5963
769	19877	5937
770	19902	5911
771	19926	5885
772	19951	5859
773	19978	5833
774	20002	5807
775	20027	5781
776	20053	5755
777	20077	5729
778	20104	5703
779	20129	5677
780	20154	5651
781	20180	5625
782	20207	5600
783	20231	5573
784	20255	5547
785	20280	5521
786	20305	5495
787	20330	5469
788	20356	5443
789	20389	5420
790	20427	5397
791	20454	5371
792	20478	5345
793	20504	5319
794	20528	5293
795	20553	5267
796	20579	5241
797	20604	5215
798	20628	5189
799	20653	5163
800	20679	5137
801	20704	5111
802	20728	5085
803	20755	5059
804	20781	5033
805	20807	5008
806	20832	4982
807	20857	4956
808	20884	4930
809	20909	4904
810	20934	4878
811	20960	4852
812	20984	4826
813	21009	4800
814	21033	4774
815	21060	4748
816	21084	4722
817	21110	4696
818	21136	4671
819	21159	4644
820	21185	4618
821	21212	4593
822	21237	4567
823	21263	4541
824	21289	4516
825	21314	4489
826	21338	4463
827	21365	4438
828	21389	4412
829	21415	4386
830	21439	4360
831	21464	4334
832	21489	4308
833	21514	4282
834	21538	4256
835	21563	4230
836	21590	4204
837	21614	4178
838	21640	4152
839	21667	4127
840	21691	4100
841	21717	4075
842	21745	4049
843	21769	4023
844	21794	3997
845	21820	3971
846	21844	3945
847	21869	3919
848	21895	3894
849	21921	3868
850	21948	3842
851	21973	3817
852	21999	3791
853	22026	3765
854	22053	3740
855	22077	3713
856	22102	3688
857	22127	3662
858	22152	3636
859	22177	3610
860	22204	3584
861	22228	3558
862	22253	3532
863	22292	3508
864	22317	3483
865	22342	3457
866	22369	3431
867	22394	3405
868	22419	3379
869	22445	3353
870	22470	3328
871	22495	3302
872	22521	3276
873	22545	3250
874	22571	3224
875	22596	3198
876	22621	3172
877	22647	3146
878	22671	3120
879	22696	3095
880	22722	3069
881	22749	3043
882	22773	3017
883	22797	2991
884	22823	2965
885	22847	2939
886	22872	2913
887	22898	2888
888	22922	2862
889	22948	2836
890	22973	2810
891	22997	2784
892	23024	2758
893	23048	2732
894	23072	2706
895	23098	2681
896	23124	2655
897	23148	2629
898	23173	2603
899	23200	2577
900	23225	2551
901	23249	2526
902	23278	2500
903	23305	2474
904	23332	2449
905	23358	2423
906	23383	2397
907	23408	2371
908	23434	2346
909	23458	2320
910	23484	2294
911	23508	2268
912	23532	2242
913	23558	2216
914	23582	2190
915	23607	2164
916	23633	2139
917	23660	2113
918	23685	2087
919	23712	2061
920	23740	2036
921	23768	2010
922	23796	1985
923	23823	1959
924	23850	1933
925	23877	1908
926	23902	1882
927	23928	1856
928	23955	1830
929	23981	1805
930	24005	1779
931	24030	1753
932	24077	1729
933	24105	1703
934	24130	1677
935	24155	1651
936	24180	1625
937	24207	1600
938	24232	1574
939	24257	1548
940	24282	1522
941	24308	1496
942	24333	1470
943	24359	1445
944	24385	1419
945	24409	1393
946	24434	1367
947	24461	1341
948	24486	1315
949	24510	1290
950	24536	1264
951	24560	1238
952	24587	1212
953	24611	1186
954	24635	1160
955	24661	1135
956	24686	1109
957	24712	1083
958	24737	1057
959	24763	1031
960	24789	1006
961	24815	980
962	24841	954
963	24866	928
964	24890	902
965	24915	876
966	24941	851
967	24967	825
968	24992	799
969	25017	773
970	25043	747
971	25069	722
972	25094	696
973	25118	670
974	25144	644
975	25168	618
976	25192	593
977	25219	567
978	25244	541
979	25268	515
980	25294	489
981	25318	464
982	25344	438
983	25369	412
984	25394	386
985	25419	360
986	25444	335
987	25468	309
988	25494	283
989	25520	257
990	25545	231
991	25570	206
992	25597	180
993	25622	154
994	25647	128
995	25673	103
996	25697	77
997	25722	51
998	25748	25
999	25773	0
